n,a,xi,r_AR,N_sites,added_vs_prev,removed_vs_prev,dN_sym_vs_prev,dN_sym_vs_ref,E0,E1,E2,S,S_over_1mr,doublet_mean_shift
4.0,24.0,2.75,0.8854166666666666,1891,0,8,8,214,-3.9903928541338622,-3.977113540877722,-3.974540968880679,0.2677769269758241,2.3369622717890097,0.00240915106349604
4.0,24.0,3.0,0.875,1835,0,56,56,270,-3.990001944647103,-3.97685005878258,-3.9729459331935852,0.3904884951315525,3.12390796105242,0.0033384099546136525
4.0,24.0,3.25,0.8645833333333334,1825,0,10,10,280,-3.98997076296452,-3.9767834655422587,-3.972828692154306,0.3943244509988107,2.9119344073758335,0.003430327094413599
4.0,24.0,3.5,0.8541666666666666,1817,0,8,8,288,-3.9899408477651828,-3.9766986130150856,-3.9727330236898566,0.3942269917640935,2.703270800668069,0.0035205875902253325
4.0,24.0,3.75,0.84375,1797,0,20,20,308,-3.989862151835892,-3.976512065342634,-3.9724529079493514,0.4003963491634883,2.5625366346463254,0.003753919296703323
4.0,24.0,4.0,0.8333333333333334,1745,0,52,52,360,-3.989417058678521,-3.976231334947496,-3.9706260140713243,0.5296562369475756,3.177937421685454,0.004807731433285944
4.0,33.0,0.0,1.0,3993,0,0,0,0,-3.995399506833225,-3.988437543985709,-3.988437543985709,0.0,0.0,0.0
4.0,33.0,0.25,0.9924242424242424,3975,0,18,18,18,-3.99538695745957,-3.988411063768798,-3.988389636863041,0.004644853276119472,0.6131206324477708,3.7193669789381545e-05
4.0,33.0,0.5,0.9848484848484849,3959,0,16,16,34,-3.9953756540880536,-3.988378961201439,-3.988353443772008,0.005518062428002688,0.3641921202481777,7.134149898568865e-05
4.0,33.0,0.75,0.9772727272727273,3935,0,24,24,58,-3.995354632072883,-3.9883409009477315,-3.9882727361068624,0.01467372271445489,0.6456437994360157,0.00013072545841197325
4.0,33.0,1.0,0.9696969696969697,3867,0,68,68,126,-3.995251037070386,-3.988277145420857,-3.987848997345254,0.09015612080972928,2.9751519867210687,0.0003744726026537748
4.0,33.0,1.25,0.9621212121212122,3857,0,10,10,136,-3.9952443892924654,-3.9882629584809624,-3.9878246964427397,0.09215683645598845,2.4329404824380974,0.0003937165238578899
4.0,33.0,1.5,0.9545454545454546,3841,0,16,16,152,-3.995230845972543,-3.9882331429042277,-3.9877733984666435,0.09639957840266518,2.1207907248586357,0.00043427330027334676
4.0,33.0,1.75,0.946969696969697,3813,0,28,28,180,-3.9952047790648,-3.9881820921426874,-3.987675136830804,0.10572094982362863,1.9935950538169989,0.0005089294989635285
4.0,33.0,2.0,0.9393939393939394,3749,0,64,64,244,-3.9950939211801595,-3.988122530817806,-3.9872178810168233,0.18439365411826023,3.0424952929512963,0.000767338068394352
4.0,33.0,2.25,0.9318181818181819,3735,0,14,14,258,-3.995083214965827,-3.988094895663787,-3.9871827173934022,0.1855233173801227,2.7210086549084687,0.0007987374571145622
4.0,33.0,2.5,0.9242424242424242,3715,0,20,20,278,-3.9950660293256868,-3.9880521666100934,-3.9871220746969165,0.1885077911020229,2.488302842546701,0.0008504233322041976
4.0,33.0,2.75,0.9166666666666666,3695,0,20,20,298,-3.9950460134946097,-3.9880115243081766,-3.9870465091584184,0.1947956759083259,2.3375481108999097,0.0009085272524114174
4.0,33.0,3.0,0.9090909090909091,3623,0,72,72,370,-3.9949154523548085,-3.987930231088645,-3.9865114391162537,0.2790399601689496,3.0694395618584447,0.001216708883259976
4.0,33.0,3.25,0.9015151515151515,3609,0,14,14,384,-3.994904326058157,-3.987905809213141,-3.9864696208474872,0.2818446356742902,2.8618070699235614,0.0012498289553950492
4.0,33.0,3.5,0.8939393939393939,3597,0,12,12,396,-3.994890392179806,-3.987877127188849,-3.986416207767824,0.2859161549054776,2.6957808891087884,0.0012908765073724737
4.0,33.0,3.75,0.8863636363636364,3573,0,24,24,420,-3.9948655549784564,-3.9878220295183846,-3.9863257956764135,0.29141101632075583,2.564416943622651,0.0013636313883100826
4.0,33.0,4.0,0.8787878787878788,3501,0,72,72,492,-3.994719158771932,-3.987723000657498,-3.985732359510519,0.3769553109073568,3.109881314985693,0.0017098639017003592
4.0,48.0,0.0,1.0,8489,0,0,0,0,-3.997821170831145,-3.994521082351589,-3.9945210823515884,2.0382011412276395e-13,0.0,0.0
4.0,48.0,0.25,0.9947916666666666,8455,0,34,34,34,-3.9978162199476177,-3.9945092362931494,-3.9945031439499794,0.002789815376921248,0.5356445523688758,1.4892230024265984e-05
4.0,48.0,0.5,0.9895833333333334,8427,0,28,28,62,-3.997811526290949,-3.994498159626392,-3.9944864281130132,0.0053605914160388644,0.5146167759397328,2.878848188547778e-05
4.0,48.0,0.75,0.984375,8395,0,32,32,94,-3.997805459017361,-3.99448682940452,-3.9944632852020074,0.010728531706061514,0.6866260291879369,4.602504832451615e-05
4.0,48.0,1.0,0.9791666666666666,8303,0,92,92,186,-3.9977735731546775,-3.9944700217001996,-3.994331577730081,0.062182132958690385,2.9847423820171333,0.00012028263644836557
4.0,48.0,1.25,0.9739583333333334,8281,0,22,22,208,-3.997769946512012,-3.994460842377075,-3.9943193398806716,0.06345251231214895,2.436576472786523,0.00013099122271498231
4.0,48.0,1.5,0.96875,8257,0,24,24,232,-3.997765182656201,-3.9944513581144374,-3.9943011676882563,0.06720478816664,2.15055322133248,0.0001448194502415845
4.0,48.0,1.75,0.9635416666666666,8229,0,28,28,260,-3.9977590008837423,-3.99444000070416,-3.994277736434882,0.0724071098916708,1.9860235856001114,0.0001622137820675995
4.0,48.0,2.0,0.9583333333333334,8121,0,108,108,368,-3.9977227019915187,-3.9944146008275516,-3.9941303014837204,0.12484064130931348,2.996175391423526,0.0002486311959524201
4.0,48.0,2.25,0.953125,8099,0,22,22,390,-3.997719449062554,-3.9944072431994373,-3.9941182108933853,0.126737930429963,2.703742515839211,0.0002583553051769272
4.0,48.0,2.5,0.9479166666666666,8075,0,24,24,414,-3.99771436884893,-3.9943973527100742,-3.9940986189525756,0.13070077267664065,2.509454835391499,0.0002730965202637492
4.0,48.0,2.75,0.9427083333333334,8047,0,28,28,442,-3.997707858721504,-3.994385618550001,-3.9940737212722035,0.13607244925233072,2.3750827505861376,0.00029141244048602744
4.0,48.0,3.0,0.9375,7951,0,96,96,538,-3.997670229806702,-3.9943622234194933,-3.9939202433347085,0.1897097344863555,3.035355751781688,0.0003798489744877287
4.0,48.0,3.25,0.9322916666666666,7921,0,30,30,568,-3.9976657322617517,-3.99435016181008,-3.993904919124611,0.19074190941042687,2.817111277446303,0.0003935418842431204
4.0,48.0,3.5,0.9270833333333334,7889,0,32,32,600,-3.9976600076950355,-3.9943362798262627,-3.993884463896346,0.19308436568698528,2.648014157992942,0.0004107104902839609
4.0,48.0,3.75,0.921875,7865,0,24,24,624,-3.9976528046566857,-3.994325256520365,-3.993855973519746,0.19993350871092483,2.559148911499838,0.00043046733153317973
4.0,48.0,4.0,0.9166666666666666,7773,0,92,92,716,-3.997613888883268,-3.9943037419879435,-3.99369566609355,0.2548397223120371,3.058076667744444,0.000521378310841758
1.2,33.0,0.0,1.0,2565,0,0,0,0,-3.992766083494508,-3.981820200836726,-3.981820200836725,1.2277974442002378e-13,0.0,0.0
1.2,33.0,0.25,0.9924242424242424,2535,0,30,30,30,-3.9926799836360742,-3.9816785695396013,-3.981562092496802,0.015912128745133106,2.100400994357572,0.00019986981852371244
1.2,33.0,0.5,0.9848484848484849,2519,0,16,16,46,-3.9926432594467234,-3.981609684819602,-3.9814177946100355,0.026083590712070535,1.721516986996657,0.00030646112190657604
1.2,33.0,0.75,0.9772727272727273,2511,0,8,8,54,-3.992626855360428,-3.981602760410309,-3.9813379784022755,0.0359116796125738,1.5801139029532485,0.00034983143043332277
1.2,33.0,1.0,0.9696969696969697,2499,0,12,12,66,-3.992595282398291,-3.981591323824673,-3.9811751602750896,0.0562024876529499,1.8546820925473482,0.00043695878684379963
1.2,33.0,1.25,0.9621212121212122,2469,0,30,30,96,-3.9925161328692003,-3.981446256139834,-3.9809015489679207,0.0727841852872286,1.921502491582837,0.0006462982828483455
1.2,33.0,1.5,0.9545454545454546,2457,0,12,12,108,-3.992480134697788,-3.981402003865325,-3.9807673034634807,0.0844031610057735,1.8568695421270185,0.0007355471723227147
1.2,33.0,1.75,0.946969696969697,2429,0,28,28,136,-3.9923910611402995,-3.9812506999498134,-3.980477982086654,0.10155395875923683,1.9150175080313248,0.0009558598184917777
1.2,33.0,2.0,0.9393939393939394,2397,0,32,32,168,-3.9922586574896,-3.9809408899459795,-3.980157988361072,0.10113253403475178,1.668686811573406,0.0012707616831995061
1.2,33.0,2.25,0.9318181818181819,2375,0,22,22,190,-3.9921924684930294,-3.9808238871462773,-3.979947175615266,0.11229048902698548,1.6469271723957886,0.0014346694559539408
1.2,33.0,2.5,0.9242424242424242,2367,0,8,8,198,-3.9921637763669064,-3.9808060464095267,-3.9798179113518883,0.12609837389853856,1.664498535460708,0.0015082219560178522
1.2,33.0,2.75,0.9166666666666666,2347,0,20,20,218,-3.992108509659602,-3.980777162860164,-3.979551268848019,0.15534378922944939,1.8641254707533919,0.0016559849826340844
1.2,33.0,3.0,0.9090909090909091,2331,0,16,16,234,-3.9920523650672504,-3.9806900497326057,-3.979347219297253,0.16895975302278787,1.858557283250666,0.0018015663217960665
1.2,33.0,3.25,0.9015151515151515,2313,0,18,18,252,-3.991991997222222,-3.9806389056434854,-3.979096442029178,0.1926152696385019,1.955785814790942,0.0019525270003937223
1.2,33.0,3.5,0.8939393939393939,2297,0,16,16,268,-3.9919210081738643,-3.9805726382441433,-3.9788099872635616,0.21817709666192428,2.0570983399552856,0.002128888082872926
1.2,33.0,3.75,0.8863636363636364,2277,0,20,20,288,-3.991853160214585,-3.980391685554867,-3.9786640910857454,0.21205700794737584,1.8661016699369073,0.0022923125164191482
1.2,33.0,4.0,0.8787878787878788,2261,0,16,16,304,-3.9917765192768564,-3.9802920867577742,-3.9783854668923206,0.23185071256843034,1.9127683786895502,0.0024814240116781683
2.0,33.0,0.0,1.0,3409,0,0,0,0,-3.9947880988073927,-3.986775217479479,-3.986775217479478,1.7041351838364554e-13,0.0,0.0
2.0,33.0,0.25,0.9924242424242424,3399,0,10,10,10,-3.9947748474935336,-3.98677006727347,-3.9867130799336175,0.010906349581538952,1.439638144763143,3.364387593496332e-05
2.0,33.0,0.5,0.9848484848484849,3367,0,32,32,42,-3.994723415704733,-3.9867025565173346,-3.986520088446362,0.034580717517664006,2.2823273561658266,0.00016389499763036497
2.0,33.0,0.75,0.9772727272727273,3355,0,12,12,54,-3.9947029678803223,-3.986666141541496,-3.9864526469007906,0.04030457733344713,1.7734014026716753,0.00021582325833513494
2.0,33.0,1.0,0.9696969696969697,3295,0,60,60,114,-3.9946074005839343,-3.9865185981217595,-3.9861156778225157,0.07471726864104282,2.4656698651544153,0.0004580795073412247
2.0,33.0,1.25,0.9621212121212122,3281,0,14,14,128,-3.994585793116187,-3.9865008267508246,-3.9860238787439792,0.08809194348877117,2.3256273081035608,0.0005128647320766788
2.0,33.0,1.5,0.9545454545454546,3265,0,16,16,144,-3.9945560263880724,-3.9864814491596188,-3.9858926496289278,0.10815620586421924,2.3794365290128257,0.0005881680852053428
