n,a,theta_deg,x0,y0,grid,N_sites,E0,E1,E2,E3,Ekin0,lamA_sites,lamA_an,S_lat
1.2,34.66908837111368,33.75,0.25,0.5,4x4,2822,-3.9934729301693372,-3.9836088620795436,-3.9835739091652482,-3.9730223475779836,0.006527069830662757,5.863074272561428,5.874362847596482,0.005355069763638415
1.2,34.66908837111368,33.75,0.25,0.75,4x4,2821,-3.9934715423136202,-3.983595211839713,-3.9835774444391174,-3.97300023558722,0.006528457686379774,5.862242869785522,5.8756119177417965,0.002721531094968645
1.2,34.66908837111368,33.75,0.5,0.0,4x4,2826,-3.9934688635062394,-3.9836040314760552,-3.9835656653062275,-3.9730419695017702,0.006531136493760581,5.8750429373067234,5.878022844384524,0.00587434818801098
1.2,34.66908837111368,33.75,0.5,0.25,4x4,2822,-3.993472930169338,-3.983608862079544,-3.983573909165249,-3.9730223475779836,0.006527069830661869,5.863074272560629,5.874362847595683,0.005355069763571106
1.2,34.66908837111368,33.75,0.5,0.5,4x4,2828,-3.9934869290718025,-3.983622650648664,-3.983622650648664,-3.9730420552496337,0.0065130709281975285,5.862938520656354,5.861763835377777,0.0
1.2,34.66908837111368,33.75,0.5,0.75,4x4,2822,-3.993472930169338,-3.9836088620795445,-3.983573909165249,-3.9730223475779836,0.006527069830661869,5.863074272560629,5.874362847595683,0.005355069763639145
1.2,34.66908837111368,33.75,0.75,0.0,4x4,2828,-3.993472727753497,-3.9836073519051682,-3.983579798539777,-3.973046463614926,0.0065272722465028465,5.8757222684543216,5.874545021852563,0.004221267989216576
1.2,34.66908837111368,33.75,0.75,0.25,4x4,2821,-3.9934715423136207,-3.9835952118397127,-3.983577444439117,-3.9730002355872194,0.00652845768637933,5.862242869785123,5.875611917741398,0.0027215310949688302
1.2,34.66908837111368,33.75,0.75,0.5,4x4,2822,-3.9934729301693377,-3.9836088620795436,-3.9835739091652496,-3.973022347577984,0.006527069830662313,5.863074272561029,5.874362847596083,0.005355069763434666
1.2,34.66908837111368,33.75,0.75,0.75,4x4,2821,-3.9934715423136216,-3.983595211839713,-3.9835774444391174,-3.97300023558722,0.006528457686378442,5.862242869784326,5.875611917740598,0.0027215310949692006
1.2,34.66908837111368,45.0,0.0,0.0,4x4,2837,-3.9935264038123766,-3.98371655660554,-3.9837165566055397,-3.9731449042233304,0.006473596187623443,5.845949621540513,5.826236568861099,6.860007899459274e-14
1.2,34.66908837111368,45.0,0.0,0.25,4x4,2833,-3.993516430907374,-3.983704057968209,-3.9836793628289224,-3.9731035685396052,0.006483569092626151,5.846700468445978,5.835212183363537,0.0038088804073153687
1.2,34.66908837111368,45.0,0.0,0.5,4x4,2828,-3.9934950959728486,-3.9837219298580453,-3.9835730716121907,-3.973111940790185,0.006504904027151426,5.855586836747879,5.854413624436284,0.02288400339702332
1.2,34.66908837111368,45.0,0.0,0.75,4x4,2833,-3.993516430907374,-3.9837040579682084,-3.983679362828923,-3.973103568539605,0.006483569092626151,5.846700468445978,5.835212183363537,0.0038088804071783797
1.2,34.66908837111368,45.0,0.25,0.0,4x4,2833,-3.993516430907374,-3.9837040579682084,-3.9836793628289224,-3.9731035685396043,0.006483569092626151,5.846700468445978,5.835212183363537,0.003808880407246874
1.2,34.66908837111368,45.0,0.25,0.25,4x4,2829,-3.9935063927678547,-3.983683714995874,-3.98365250411488,-3.9730763521194086,0.006493607232145315,5.847484663152569,5.844246508930786,0.004806401107820857
1.2,34.66908837111368,45.0,0.25,0.5,4x4,2820,-3.993468450294465,-3.983648286829863,-3.9835203181184777,-3.9730360877220825,0.006531549705535156,5.862940298310921,5.878394734981641,0.01959239646861615
1.2,34.66908837111368,45.0,0.25,0.75,4x4,2829,-3.993506392767855,-3.9836837149958746,-3.9836525041148803,-3.973076352119409,0.006493607232144871,5.847484663152169,5.844246508930385,0.004806401107821186
1.2,34.66908837111368,45.0,0.5,0.0,4x4,2828,-3.9934950959728486,-3.9837219298580453,-3.98357307161219,-3.9731119407901843,0.006504904027151426,5.855586836747879,5.854413624436284,0.022884003397091592
1.2,34.66908837111368,45.0,0.5,0.25,4x4,2820,-3.9934684502944653,-3.983648286829864,-3.983520318118478,-3.9730360877220825,0.006531549705534712,5.862940298310523,5.878394734981241,0.019592396468685474
1.2,34.66908837111368,45.0,0.5,0.5,4x4,2820,-3.993440155385571,-3.983527239660981,-3.98352723966098,-3.97305638644762,0.0065598446144288225,5.888338767138179,5.903860152985941,1.353962588910287e-13
1.2,34.66908837111368,45.0,0.5,0.75,4x4,2820,-3.993468450294465,-3.983648286829863,-3.983520318118478,-3.9730360877220825,0.006531549705535156,5.862940298310921,5.878394734981641,0.01959239646854816
1.2,34.66908837111368,45.0,0.75,0.0,4x4,2833,-3.9935164309073734,-3.9837040579682075,-3.983679362828923,-3.973103568539605,0.006483569092626595,5.846700468446379,5.835212183363937,0.0038088804070411297
