n,a_circ,a,x0,y0,N_sites,E0,Ekin0,lamA_sites,lamA_an
2.0,30.0,29.999999999999996,0.0,0.5,2820,-3.9937168292776857,0.006283170722314324,5.63998690813082,5.654853650082892
2.0,30.0,29.999999999999996,0.0,0.75,2822,-3.9937204059461235,0.006279594053876458,5.640774083104044,5.651634648488812
2.0,30.0,29.999999999999996,0.25,0.0,2822,-3.9937204059461235,0.006279594053876458,5.640774083104044,5.651634648488812
2.0,30.0,29.999999999999996,0.25,0.25,2826,-3.993727738571378,0.006272261428621917,5.6421734934448935,5.645035285759725
2.0,30.0,29.999999999999996,0.25,0.5,2836,-3.9937490478978126,0.0062509521021874015,5.64290222080403,5.625856891968661
2.0,30.0,29.999999999999996,0.25,0.75,2826,-3.9937277385713785,0.006272261428621473,5.642173493444495,5.645035285759326
2.0,30.0,29.999999999999996,0.5,0.0,2820,-3.9937168292776857,0.006283170722314324,5.63998690813082,5.654853650082892
2.0,30.0,29.999999999999996,0.5,0.25,2836,-3.9937490478978126,0.0062509521021874015,5.64290222080403,5.625856891968661
2.0,30.0,29.999999999999996,0.5,0.5,2828,-3.9937322056780524,0.006267794321947573,5.642145337401907,5.6410148897528165
2.0,30.0,29.999999999999996,0.5,0.75,2836,-3.9937490478978126,0.0062509521021874015,5.64290222080403,5.625856891968661
2.0,30.0,29.999999999999996,0.75,0.0,2822,-3.993720405946123,0.006279594053876902,5.640774083104443,5.651634648489212
2.0,30.0,29.999999999999996,0.75,0.25,2826,-3.993727738571378,0.006272261428621917,5.6421734934448935,5.645035285759725
2.0,30.0,29.999999999999996,0.75,0.5,2836,-3.9937490478978126,0.0062509521021874015,5.64290222080403,5.625856891968661
2.0,30.0,29.999999999999996,0.75,0.75,2826,-3.993727738571377,0.006272261428622805,5.642173493445694,5.645035285760524
2.0,36.0,36.0,0.0,0.0,4053,-3.995608282027694,0.004391717972306086,5.665799135803784,5.691666492108689
2.0,36.0,36.0,0.0,0.25,4066,-3.995623182900513,0.004376817099486896,5.6646867652235775,5.672354960935018
2.0,36.0,36.0,0.0,0.5,4064,-3.9956212350911278,0.004378764908872235,5.664420105299987,5.674879321898417
2.0,36.0,36.0,0.0,0.75,4066,-3.9956231829005127,0.00437681709948734,5.664686765224152,5.672354960935594
2.0,36.0,36.0,0.25,0.0,4066,-3.9956231829005127,0.00437681709948734,5.664686765224152,5.672354960935594
2.0,36.0,36.0,0.25,0.25,4073,-3.9956298036726157,0.004370196327384335,5.665855381058759,5.6637744402901
2.0,36.0,36.0,0.25,0.5,4076,-3.9956327721100267,0.004367227889973346,5.666177268141671,5.659927345405458
2.0,36.0,36.0,0.25,0.75,4073,-3.995629803672616,0.004370196327383891,5.665855381058183,5.663774440289524
2.0,36.0,36.0,0.5,0.0,4064,-3.995621235091127,0.004378764908873123,5.664420105301136,5.674879321899568
2.0,36.0,36.0,0.5,0.25,4076,-3.9956327721100253,0.004367227889974679,5.6661772681434,5.659927345407184
2.0,36.0,36.0,0.5,0.5,4060,-3.995616438645821,0.004383561354178944,5.665043517857154,5.681095515015913
2.0,36.0,36.0,0.5,0.75,4076,-3.995632772110027,0.004367227889972902,5.666177268141095,5.659927345404882
