A_eig_hi,A_eig_hi_dimless,A_eig_lo,A_eig_lo_dimless,A_trace,A_traceless_norm,A_traceless_norm_dimless,a0,delta,invariant_split_dimless,leakage,n,n_sites_0,n_sites_delta,overlap_M11,overlap_M12,overlap_M21,overlap_M22,principal_axis_deg,sv_max,sv_min,symmetry_class_0,x0,y0
0.0010264468491296475,0.23538833866231637,-0.011491643705204444,-2.635303447578394,-0.010465196856074797,0.008851626718476904,2.029885628747329,33.7,0.02,2.87069178624071,0.0006059086046561468,4.0,4197,4227,-0.19771615730126738,0.9801937913066148,0.9796858741281871,0.1978186630486686,11.409937550008154,0.9999560450171787,0.9994378874268725,C4v,0.0,0.0
0.004359822559991849,0.9998095762379315,-0.009208566419362654,-2.111740274475536,-0.004848743859370806,0.009594299857078388,2.2001979994394825,33.7,0.04,3.1115498507134673,0.002051603717121653,4.0,4197,4223,0.8068148082575104,0.5888649486408963,0.5884087772060462,-0.8074403017630426,-53.89678726788527,0.9993606799594623,0.998586512985589,C4v,0.0,0.0
-0.004118381962265408,-0.4910266709723863,-0.006539798764492999,-0.7797274865665741,-0.010658180726758407,0.0017122002409341744,0.20414230444073714,24.3,0.01,0.2887008155941878,5.0061139902579654e-05,4.0,2160,2168,0.8993664831152092,0.4371317863323904,-0.4371277748818699,0.8993747364551963,64.07841019115355,0.9999795573890498,0.9999703808234498,C4v,0.5,0.5
-0.0010221463561185667,-0.12186852193170536,-0.035231153610501185,-4.200541919226486,-0.03625329996661975,0.024189421007233747,2.884057617472313,24.3,0.02,4.078673397294781,0.0012321993551207555,4.0,2160,2192,0.6379722250334628,-0.7693912417629947,-0.7685394848487066,-0.6386792768694572,39.696400860743125,0.9999370488206223,0.9988300654694284,C4v,0.5,0.5
-0.0014159627555243074,-0.16882248524698173,-0.02640734245609816,-3.148496077890019,-0.027823305211622466,0.0176715740574836,2.1069474030803743,24.3,0.04,2.9796735926430373,0.002396508400779873,4.0,2160,2208,0.32813278476244245,0.9441271784391075,0.9423853913370194,-0.3287392642956835,-19.19780232117419,0.9997227780525249,0.997878424579559,C4v,0.5,0.5
0.011347755051002833,2.640009773904317,-0.0021344593656553433,-0.49657342461174603,0.00921329568534749,0.00953336523943003,2.2178992494264995,33.7,0.01,3.136583198516063,0.0002453297073867766,4.0,4240,4224,0.8757764173756909,0.48252610781760874,-0.48258132430692247,0.8756762118833608,61.143804542283455,0.9999345317575663,0.9998201202136328,C4v,0.5,0.5
0.014985412644390928,3.4862962470876755,-0.002133765401272182,-0.49641197657677755,0.012851647243118745,0.012105086884428252,2.8161999924405636,33.7,0.02,3.982708223664453,0.0011527485921645209,4.0,4240,4196,-0.7127306678841816,-0.7006255992263445,0.7012288078707072,-0.7121175651491766,45.46606250860977,0.9998534122212139,0.9989933217420756,C4v,0.5,0.5
0.007910956446568255,1.8404523402206974,-0.0014978961043407805,-0.348479530795211,0.006413060342227474,0.0066530634419321244,1.5478085695507058,33.7,0.04,2.1889318710159085,0.0014194855604323653,4.0,4240,4196,-0.3186065731633761,-0.9467620895916292,-0.9476094911806264,0.3183216586296187,-18.58374529237899,0.9997369135120078,0.9988428968764905,C4v,0.5,0.5
-0.0010709697808614083,-0.1278958453593803,-0.0019232275242898889,-0.2296729697075498,-0.002994197305151297,0.0006026372296970234,0.07196729479625713,24.3,0.01,0.10177712434816949,1.2907394260741611e-05,4.0,2168,2170,0.9999914413073916,2.5050958815909738e-11,-2.5052135934208405e-11,0.9999956512522663,89.99999999658642,0.9999956512522663,0.9999914413073916,Cs_axis,0.5,0.3
6.057487458594607e-05,0.007233887389872649,-0.033533939379757835,-4.004642896417404,-0.03347336450517189,0.02375490883991462,2.8368252791150015,24.3,0.02,4.011876783807277,0.0012139307666214627,4.0,2168,2196,0.9988380441158176,-2.2958742967808918e-12,2.2948569636244273e-12,0.9999473486607408,-89.9999999998686,0.9999473486607408,0.9988380441158176,Cs_axis,0.5,0.3
