preregistration_commit,rules_changed_after_execution,S_experiment_started_after_preregistration,protocol_branch,implementation_branch,n,alpha,candidate_rank,candidate_type,a,b,aspect_ratio,Ekin_target,E0_Kwant,E1_Kwant,E2_Kwant,E3_Kwant,Ekin_Kwant,dE1_Kwant,dE2_Kwant,Q_Kwant,S_Kwant,geometry_hash,N_sites,N_A,N_B,imbalance_ratio,failure_mode,passes_Ekin_constraint,passes_Q_constraint
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,3.0,0.95,3,method_candidate,26.995854105136505,26.72589556408514,0.99,0.007053480364534792,-3.9929178242201293,-3.98212744951523,-3.9820973526843586,-3.9697741601461844,0.007082175779870692,0.010790374704899186,3.009683087151771e-05,1.5235960021732473,0.004249658834656491,4d0a9ec78018f88daeb05f38b5560bc8ecaf3a16e0b6544d8d4d4a3782324985,2529,1269,1260,0.0035587188612099642,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,3.0,0.9,1,method_candidate,28.388498947653826,25.83353404236498,0.91,0.007053480364534792,-3.9930334657210835,-3.983395798703329,-3.981383718689,-3.970050207878246,0.00696653427891647,0.009637667017754481,0.002012080014329065,1.3834234688146059,0.2888208015308885,6e53eea8ed015b90c44183e4adae92ae85a509f40eaa981fa476abea917e3169,2579,1293,1286,0.002714230321830167,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,3.0,0.9,2,method_candidate,28.11290117382813,26.004433585791023,0.925,0.007053480364534792,-3.993022308514266,-3.9831925510875212,-3.98152228167949,-3.9699357362481202,0.006977691485734017,0.009829757426744745,0.0016702694080312774,1.408740619564768,0.23937277987227804,c366ebe0a496aba25e76af82bc8e529342f9bc24a341e339788f21b37e3e5324,2573,1291,1282,0.003497862417411582,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,3.0,0.9,3,method_candidate,27.933065351372232,26.11741610353304,0.935,0.007053480364534792,-3.9930197342190326,-3.9828777032713147,-3.9818301964072758,-3.96997001178852,0.006980265780967443,0.010142030947717817,0.0010475068640389829,1.4529577047583657,0.150066902451643,be519d22670f37de0cfb65db8e7e2ec9daae5418285b3c2895718a0409ee208c,2567,1293,1274,0.007401636151149201,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,3.0,0.9,4,method_candidate,27.668947537488787,26.285500160614347,0.95,0.007053480364534792,-3.993045415750452,-3.9828298357969527,-3.981997864002758,-3.970017126056852,0.006954584249548201,0.010215579953499088,0.0008319717941946969,1.468898727362852,0.11962926385552741,cf6ae933c8f153d85c018df08c1c5406f2fc47da1aefeff6bb83dcdc9a9ca51a,2571,1289,1282,0.0027226760015558148,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,3.0,0.9,5,method_candidate,27.160035559483536,26.616834848293866,0.98,0.007053480364534792,-3.9930326377768104,-3.982618894215085,-3.9821526349299763,-3.9700260432320134,0.00696736222318961,0.010413743561725308,0.00046625928510879433,1.4946465000865088,0.06692048872626921,0f4f783754d17acf17f536cff7ac2c07fdb214f90fa5b22a6188c9dfd6cbc3bf,2567,1285,1282,0.001168679392286716,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,4.0,0.95,1,method_candidate,27.578689052798456,26.337648045422526,0.955,0.006858160651241896,-3.993296046501079,-3.9834897845105384,-3.9827500960840623,-3.972016146931706,0.006703953498921056,0.009806261990540577,0.0007396884264760928,1.4627580564392058,0.11033615113755478,930fb8abc2630f8e85bc92bcf1bbf14a0575a8a2f5a51694644e5db61fcdef1c,2707,1349,1358,0.0033247137052087182,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,4.0,0.95,2,method_candidate,27.081755414772125,26.675529083550543,0.985,0.006858160651241896,-3.9932374553945857,-3.983217491657796,-3.9827160586146837,-3.9717040583691126,0.006762544605414256,0.010019963736789705,0.0005014330431123426,1.481685418942373,0.07414857459289559,f40cc03b70afe8f8eb42e112cdb18445841b8ce9a0fb711d6d5b8628209c3728,2683,1341,1342,0.0003727171077152441,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,4.0,0.95,3,method_candidate,26.921390348464683,26.78678339672236,0.995,0.006858160651241896,-3.993115703984206,-3.982705458138283,-3.982689208859346,-3.9715816158537973,0.006884296015793989,0.010410245845922983,1.624927893706385e-05,1.5121728964065084,0.0023603399533931525,980825f875ffb7d7690e6ab791f7f41e5e312bf6576af4b08ec6fcd64cc5a10f,2649,1325,1324,0.00037750094375235937,ok,True,True
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,4.0,0.9,1,method_candidate,28.372113627422966,25.8186234009549,0.91,0.006858160651241896,-3.9932669320163465,-3.984106425385322,-3.98201440242007,-3.972036078849986,0.0067330679836534735,0.009160506631024745,0.002092022965251683,1.3605248979016107,0.31070872451172205,1f261b3e22e7feb822c840e0af58a7cd5dd13153df4db45b57ddc6b6f648654c,2715,1353,1362,0.0033149171270718232,q_preservation_failed,True,False
