preregistration_commit,rules_changed_after_execution,S_experiment_started_after_preregistration,protocol_branch,implementation_branch,n,alpha,repeat_index,seed,sample_index,aspect_ratio,a,feasible,S_Kwant,failure_mode,b,Q_Kwant,Ekin_Kwant,geometry_hash,repeat_best_S,S_random_best_of_5_primary,S_random_best_of_5_p75
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,7,20260609,4,0.9612469845861281,27.627653501854084,True,0.08137149173047956,ok,26.556998619847622,1.47360840186235,0.010629732024094452,566beef2482de649a0d3876a2986e9c8858aa7a832e8c2fb0e139788ffd27b3d,0.12070587187847989,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,7,20260609,5,0.9502528230192913,27.814720031546283,True,0.1045485404482393,ok,26.431016231468085,1.4613606304865898,0.0106087136614601,a17b8e5a35f81601f478d9db4959919bc792bbc64c9f3483dfa2baca7a175fa5,0.12070587187847989,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,8,20260610,1,0.7893362145372032,31.00749109720324,False,0.40414446719800173,ok,24.47533564496243,1.3085949953529272,0.01044554978417267,810ef0ab8011aa4b5739bf9b75595527542290d9fd75ca647c0f48b5adfb8e0d,0.08137149173047956,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,8,20260610,2,0.7705837672218474,31.446228278589015,False,0.45159163186170664,ok,24.23195305183331,1.286146987608743,0.010475446489127016,5dba2778b56e4e02cf77f4353e002f04833c7e436ab897db340aa30eefc23d36,0.08137149173047956,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,8,20260610,3,0.8885372265874607,28.931673808109696,False,0.1678088677183946,ok,25.706869205990866,1.42847437591634,0.010605888063781155,5d1ddec47e6358345483e42e0721e0b0e87d2937fcd6646d74036377e10a99ab,0.08137149173047956,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,8,20260610,4,0.672678828422378,34.038701256680596,False,0.6883934211290543,ok,22.89711368236323,1.1656641208938576,0.010654113879147165,11c3c9e2e63abed685ee5c87f3fc1ff6570fabee39d268175258dc0ea4024520,0.08137149173047956,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,8,20260610,5,0.962123739623057,27.612880501144055,True,0.08137149173047956,ok,26.56700784952531,1.47360840186235,0.010629732024094452,566beef2482de649a0d3876a2986e9c8858aa7a832e8c2fb0e139788ffd27b3d,0.08137149173047956,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,9,20260611,1,0.6869119651360682,33.62646213680898,False,0.6136859456892687,ok,23.09841918696905,1.2021381363292984,0.010573998406290475,141db57e8569d0ce8000da789c9de530851680fcd23d5eaf7d6c0bafc2bd9ad7,0.08137149173047956,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,9,20260611,2,0.9636370512645941,27.58743157460206,True,0.08137149173047956,ok,26.584271214513286,1.47360840186235,0.010629732024094452,566beef2482de649a0d3876a2986e9c8858aa7a832e8c2fb0e139788ffd27b3d,0.08137149173047956,0.10586030899443685,0.12070587187847989
7e28542fda40db288ad2613b49f17b1248f6f2ce,False,True,article-s-objective-preregistration,article-s-objective-implementation,1.2,0.95,9,20260611,3,0.7446180416616848,32.08194179740786,False,0.48831496192357915,ok,23.88879267388999,1.2671412791377443,0.010539780036162405,c5c7086a79d1d265cf3c395d0433cde365ed72a80b8716b06b53eb33b094ca62,0.08137149173047956,0.10586030899443685,0.12070587187847989
