n,a,aspect_ratio,N_sites,E0,E1,E2,E3,dE1,dE2,dE3,E_kin,scaled_E0,scaled_dE1,analytic_area,N_sites_over_area,R_eff,E_Bessel,bessel_relative_error,N_A,N_B,delta_N,imbalance_ratio
3.0,30.0,0.78,2479,-3.9925950910665464,-3.983647159153584,-3.978934151512166,-3.9695510125124773,0.008947931912962392,0.00471300764141791,0.00938313899968879,0.00740490893345358,6.664418040108222,8.053138721666153,2480.3608054007736,0.9994513679631566,nan,nan,nan,1245,1234,11,0.004437273093989512
4.0,30.0,0.78,2595,-3.992816404272782,-3.984251876042986,-3.979599966388654,-3.970314353972343,0.008564528229795698,0.004651909654332265,0.009285612416310762,0.007183595727218162,6.4652361544963455,7.708075406816128,2603.1208469311277,0.9968803419400596,nan,nan,nan,1305,1290,15,0.005780346820809248
1.2,30.0,0.83,1765,-3.989424075897212,-3.975174291912869,-3.971717541400746,-3.9583067203383604,0.014249783984343178,0.003456750512123019,0.013410821062385558,0.010575924102787848,9.518331692509063,12.82480558590886,1757.2281021051942,1.0044228167563989,nan,nan,nan,879,886,-7,0.00396600566572238
2.0,30.0,0.83,2329,-3.99229430257308,-3.982205386791585,-3.9787178151219016,-3.967617431444541,0.010088915781495178,0.003487571669683387,0.011100383677360437,0.007705697426919844,6.93512768422786,9.08002420334566,2346.769712231576,0.9924280119438399,nan,nan,nan,1171,1158,13,0.0055817947617003
3.0,30.0,0.83,2621,-3.993037223659978,-3.984224398464438,-3.980626388400775,-3.9704089653611074,0.00881282519553972,0.003598010063663004,0.010217423039667661,0.006962776340022181,6.266498706019963,7.931542675985748,2639.358292926464,0.9930444104630793,nan,nan,nan,1311,1310,1,0.00038153376573826786
4.0,30.0,0.83,2737,-3.9932109487958396,-3.98474831881758,-3.981141085996107,-3.972047299347892,0.008462629978259528,0.0036072328214729055,0.00909378664821503,0.006789051204160401,6.110146083744361,7.616366980433575,2769.987567888251,0.9880910772775058,nan,nan,nan,1371,1366,5,0.001826817683595177
1.2,30.0,0.89,1889,-3.990203185661657,-3.976353211992864,-3.9744101440858417,-3.960241312758044,0.013849973668792703,0.0019430679070224777,0.014168831327797893,0.009796814338343118,8.817132904508806,12.464976301913433,1884.2566396067748,1.0025173642982175,nan,nan,nan,941,948,-7,0.0037056643726839597
2.0,30.0,0.89,2513,-3.992914763960984,-3.9830269938966203,-3.9810297524980363,-3.9688839459597736,0.00988777006436381,0.0019972413985840376,0.012145806538262693,0.007085236039015896,6.376712435114307,8.898993057927429,2516.4157155254247,0.998642626691468,nan,nan,nan,1257,1256,1,0.0003979307600477517
3.0,30.0,0.89,2817,-3.9935881338374295,-3.984794467922022,-3.9828137021300023,-3.9726165417380637,0.008793665915407534,0.0019807657920196675,0.010197160391938631,0.006411866162570501,5.770679546313451,7.91429932386678,2830.155277957292,0.9953517469307241,nan,nan,nan,1409,1408,1,0.0003549875754348598
4.0,30.0,0.89,2941,-3.993759784506982,-3.985280027918454,-3.9833375135233218,-3.9741735003755925,0.008479756588527732,0.0019425143951323776,0.0091640131477293,0.00624021549301812,5.616193943716308,7.631780929674958,2970.227633036799,0.9901598003090032,nan,nan,nan,1469,1472,-3,0.0010200612036722204
1.2,30.0,0.94,1989,-3.990709334291677,-3.9771268513066595,-3.976198650820992,-3.9619628017149484,0.013582482985017297,0.0009282004856676629,0.014235849106043474,0.009290665708323154,8.361599137490838,12.224234686515567,1990.113754191425,0.9994403565177723,nan,nan,nan,1007,982,25,0.01256913021618904
2.0,30.0,0.94,2661,-3.993327422095508,-3.9835831983188745,-3.9825617975858862,-3.970001092670089,0.009744223776633643,0.0010214007329882868,0.012560704915797416,0.006672577904491828,6.005320114042645,8.769801398970278,2657.7873849369653,1.0012087554788025,nan,nan,nan,1331,1330,1,0.0003757985719654265
3.0,30.0,0.94,2989,-3.99398681028741,-3.985189229526889,-3.984413823901891,-3.9741959530381292,0.008797580760520951,0.0007754056249980046,0.010217870863761913,0.006013189712589906,5.411870741330915,7.917822684468856,2989.1527654829833,0.9999488933838553,nan,nan,nan,1495,1494,1,0.00033456005352960856
4.0,30.0,0.94,3121,-3.994167260017805,-3.985648126037462,-3.984975334742432,-3.9756407213209415,0.008519133980342986,0.0006727912950301729,0.009334613421490445,0.005832739982194912,5.249465983975421,7.667220582308687,3137.0943539939226,0.9948696621211178,nan,nan,nan,1563,1558,5,0.0016020506247997437
