n,target,protocol,model,feature_set,seed,left_out_group,mae,rmse,max_abs_error,n_iter,max_iter,converged
1.2,E0,LOARO,mlp,raw,1,0.72,9.332113965552225e-05,0.00014323568489939422,0.00030345006142518116,70.0,5000.0,True
1.2,E0,LOARO,mlp,raw,1,0.78,5.050913300888027e-05,6.161698138310686e-05,0.00010518610853127441,190.0,5000.0,True
1.2,E0,LOARO,mlp,raw,1,0.83,3.999445826776693e-05,5.9601163984824005e-05,0.00011569444283798802,169.0,5000.0,True
1.2,E0,LOARO,mlp,raw,1,0.89,7.144429902332661e-05,8.059082488233003e-05,0.00011418459373579992,146.0,5000.0,True
1.2,E0,LOARO,mlp,raw,1,0.94,9.875189464043643e-05,0.00011851245032708513,0.00019232565380411515,112.0,5000.0,True
1.2,E0,LOARO,mlp,raw,1,1.0,0.00013978949214328297,0.0002045464143045761,0.00043197049801158016,224.0,5000.0,True
1.2,E0,LOARO,mlp,raw,2,0.67,0.00022971493767389716,0.00033349525985593056,0.0006868270136410892,47.0,5000.0,True
1.2,E0,LOARO,mlp,raw,2,0.72,8.012702306752218e-05,0.00012747888095096912,0.00027774140062897246,86.0,5000.0,True
1.2,E0,LOARO,mlp,raw,2,0.78,5.1951936553873426e-05,6.206207935562608e-05,9.753936501022409e-05,91.0,5000.0,True
1.2,E0,LOARO,mlp,raw,2,0.83,3.7169732750452765e-05,4.896732043798904e-05,7.795024331302969e-05,73.0,5000.0,True
1.2,E0,LOARO,mlp,raw,2,0.89,4.3799437013714027e-05,5.3306259411478525e-05,9.714793782844566e-05,107.0,5000.0,True
1.2,E0,LOARO,mlp,raw,2,0.94,9.214637491181677e-05,0.00011485336661289539,0.00021597789436222925,109.0,5000.0,True
1.2,E0,LOARO,mlp,raw,2,1.0,4.854301069210365e-05,6.857954333534153e-05,0.00014029182517516503,123.0,5000.0,True
1.2,E0,LOARO,mlp,raw,3,0.67,0.00020806341286121465,0.00037965918721774854,0.000842915025011326,78.0,5000.0,True
1.2,E0,LOARO,mlp,raw,3,0.72,0.00010030979392299244,0.0001405983519358405,0.0002968852223617091,67.0,5000.0,True
1.2,E0,LOARO,mlp,raw,3,0.78,4.9054413864091376e-05,6.263726534968743e-05,0.00011852569103609767,103.0,5000.0,True
1.2,E0,LOARO,mlp,raw,3,0.83,5.9484877787063795e-05,6.535654041844777e-05,9.674140178450585e-05,54.0,5000.0,True
1.2,E0,LOARO,mlp,raw,3,0.89,6.277397488974046e-05,7.626072933597504e-05,0.00012260559336674248,50.0,5000.0,True
1.2,E0,LOARO,mlp,raw,3,0.94,9.47055866585167e-05,0.00012047733188174148,0.00024098093071556193,60.0,5000.0,True
1.2,E0,LOARO,mlp,raw,3,1.0,7.104578754564272e-05,9.561857147561136e-05,0.0001964091774100396,144.0,5000.0,True
1.2,E0,LOARO,mlp,raw,4,0.67,0.00024360140094819015,0.0004427978664070634,0.0009814203327014326,205.0,5000.0,True
1.2,E0,LOARO,mlp,raw,4,0.72,8.187627708995393e-05,0.00012864088045415662,0.0002724151363904248,181.0,5000.0,True
1.2,E0,LOARO,mlp,raw,4,0.78,7.550778221077081e-05,8.88272402590511e-05,0.00015726831425988408,179.0,5000.0,True
1.2,E0,LOARO,mlp,raw,4,0.83,4.4935999828865644e-05,5.4698221908890064e-05,9.037898401098587e-05,256.0,5000.0,True
1.2,E0,LOARO,mlp,raw,4,0.89,6.860006792113183e-05,7.321871334134695e-05,0.00010272224455354362,193.0,5000.0,True
1.2,E0,LOARO,mlp,raw,4,0.94,7.649560521292287e-05,0.0001048277086707292,0.00021127611665860968,275.0,5000.0,True
1.2,E0,LOARO,mlp,raw,4,1.0,0.00011540307167372532,0.00017379905282034026,0.00035851957122723377,245.0,5000.0,True
1.2,E0,LOARO,mlp,raw,5,0.67,0.00021837645409696904,0.0003922691250421044,0.0008687824038897674,79.0,5000.0,True
1.2,E0,LOARO,mlp,raw,5,0.72,9.13335469442167e-05,0.00014002735898856224,0.0003005109215812318,179.0,5000.0,True
1.2,E0,LOARO,mlp,raw,5,0.78,7.062096462862044e-05,9.117942571329727e-05,0.00016377148806956399,76.0,5000.0,True
1.2,E0,LOARO,mlp,raw,5,0.83,5.137451245493807e-05,5.419034376100739e-05,7.752415965756043e-05,111.0,5000.0,True
1.2,E0,LOARO,mlp,raw,5,0.89,6.843479852882694e-05,7.963470886582544e-05,0.00011508432910956046,90.0,5000.0,True
1.2,E0,LOARO,mlp,raw,5,0.94,7.959093832639041e-05,0.0001147639316469185,0.00023609066617158447,79.0,5000.0,True
1.2,E0,LOARO,mlp,raw,5,1.0,0.0001937051181606364,0.00021521347184050882,0.00035014469693184225,153.0,5000.0,True
1.2,E0,LOARO,mlp,raw,6,0.67,0.00021594589471831682,0.00036799765230665797,0.0008114894135227146,92.0,5000.0,True
1.2,E0,LOARO,mlp,raw,6,0.72,7.91000822519372e-05,0.0001270552060934869,0.00026823200639203293,127.0,5000.0,True
1.2,E0,LOARO,mlp,raw,6,0.78,8.038778901751087e-05,9.683887076537518e-05,0.0001787670705133415,85.0,5000.0,True
1.2,E0,LOARO,mlp,raw,6,0.83,4.160325292961176e-05,4.350137154823932e-05,5.062514593312528e-05,98.0,5000.0,True
1.2,E0,LOARO,mlp,raw,6,0.89,6.239030886447949e-05,6.646751656542599e-05,8.305360702820508e-05,90.0,5000.0,True
1.2,E0,LOARO,mlp,raw,6,0.94,9.674360227425182e-05,0.00011751676969379845,0.0001922152979645375,160.0,5000.0,True
