n,target,protocol,left_out_group,a,aspect_ratio,y_true,y_pred,residual,abs_residual,squared_residual,N_sites,analytic_area,N_sites_over_area,edge_area_error_signed,edge_area_error_abs,N_A,N_B,delta_N,imbalance_ratio,abs_delta_N_over_N
1.2,E0,LOARO,0.94,36.0,0.94,-3.993556332847504,-3.9937378583934446,-0.00018152554594053072,0.00018152554594053072,3.295152382900773e-08,2871.0,2865.763806035651,1.0018271547548059,0.001827154754805882,0.001827154754805882,1433.0,1438.0,-5.0,0.0017415534656913968,0.0017415534656913968
1.2,E0,LOARO,1.0,24.0,1.0,-3.9862921556839734,-3.9863781461902237,-8.599050625024418e-05,8.599050625024418e-05,7.394367165173284e-09,1341.0,1354.9710666835233,0.9896890295098925,-0.01031097049010754,0.01031097049010754,685.0,656.0,29.0,0.02162565249813572,0.02162565249813572
1.2,E0,LOARO,1.0,27.0,1.0,-3.989310710200424,-3.989483026882394,-0.00017231668197004169,0.00017231668197004169,2.969303888516449e-08,1721.0,1714.8852562713341,1.0035656868040028,0.003565686804002821,0.003565686804002821,865.0,856.0,9.0,0.005229517722254503,0.005229517722254503
1.2,E0,LOARO,1.0,30.0,1.0,-3.991276458703612,-3.9917039297774988,-0.00042747107388674266,0.00042747107388674266,1.82731519009885e-07,2121.0,2117.142291693005,1.001822129916412,0.001822129916412063,0.001822129916412063,1053.0,1068.0,-15.0,0.007072135785007072,0.007072135785007072
1.2,E0,LOARO,1.0,33.0,1.0,-3.992766083494375,-3.993347146752085,-0.0005810632577101238,0.0005810632577101238,3.3763450946070173e-07,2565.0,2561.7421729485363,1.0012717232381407,0.0012717232381407317,0.0012717232381407317,1289.0,1276.0,13.0,0.0050682261208577,0.0050682261208577
1.2,E0,LOARO,1.0,36.0,1.0,-3.9939391931343904,-3.9945969480224384,-0.0006577548880479789,0.0006577548880479789,4.326414927510092e-07,3057.0,3048.6849000379275,1.0027274383003535,0.0027274383003534908,0.0027274383003534908,1537.0,1520.0,17.0,0.005561007523716062,0.005561007523716062
1.2,dE1,LOAO,24.0,24.0,0.67,0.025056382124442944,0.02459462058509031,-0.0004617615393526335,0.0004617615393526335,2.132237192253137e-07,905.0,907.8306146779609,0.9968820012982653,-0.003117998701734681,0.003117998701734681,453.0,452.0,1.0,0.0011049723756906078,0.0011049723756906078
1.2,dE1,LOAO,24.0,24.0,0.72,0.02354847050015163,0.023723828126716227,0.00017535762656459633,0.00017535762656459633,3.075029719436842e-08,983.0,975.5791680121368,1.0076065912754,0.0076065912753999765,0.0076065912753999765,497.0,486.0,11.0,0.011190233977619531,0.011190233977619531
1.2,dE1,LOAO,24.0,24.0,0.78,0.023006429086566804,0.02281782076039239,-0.0001886083261744137,0.0001886083261744137,3.557310070231403e-08,1053.0,1056.877432013148,0.9963312377616368,-0.00366876223836321,0.00366876223836321,535.0,518.0,17.0,0.016144349477682812,0.016144349477682812
1.2,dE1,LOAO,24.0,24.0,0.83,0.022109037976418833,0.022156280687146417,4.724271072758385e-05,4.724271072758385e-05,2.2318737168901658e-09,1127.0,1124.625985347324,1.0021109370436099,0.002110937043609873,0.002110937043609873,563.0,564.0,-1.0,0.0008873114463176575,0.0008873114463176575
1.2,dE1,LOAO,24.0,24.0,0.89,0.021485658843983124,0.02145316819528343,-3.249064869969426e-05,3.249064869969426e-05,1.0556422529269442e-09,1203.0,1205.9242493483357,0.9975750969848098,-0.0024249030151901607,0.0024249030151901607,593.0,610.0,-17.0,0.014131338320864505,0.014131338320864505
1.2,dE1,LOAO,24.0,24.0,0.94,0.020814309051417013,0.020929983818114895,0.0001156747666978819,0.0001156747666978819,1.3380651650609409e-08,1277.0,1273.672802682512,1.0026122857538298,0.0026122857538297684,0.0026122857538297684,639.0,638.0,1.0,0.0007830853563038371,0.0007830853563038371
1.2,dE1,LOAO,24.0,24.0,1.0,0.02068301653403104,0.02036465429409907,-0.00031836223993196924,0.00031836223993196924,1.0135451581450075e-07,1341.0,1354.9710666835233,0.9896890295098925,-0.01031097049010754,0.01031097049010754,685.0,656.0,29.0,0.02162565249813572,0.02162565249813572
1.2,dE1,LOAO,27.0,27.0,0.67,0.019780302832035357,0.0195626722450946,-0.00021763058694075632,0.00021763058694075632,4.736307237217809e-08,1155.0,1148.9731217017938,1.0052454475952226,0.005245447595222608,0.005245447595222608,577.0,578.0,-1.0,0.0008658008658008658,0.0008658008658008658
1.2,dE1,LOAO,27.0,27.0,0.72,0.018911356479666352,0.01885213394618548,-5.9222533480871725e-05,5.9222533480871725e-05,3.5073084718929726e-09,1237.0,1234.7173845153604,1.0018486946999094,0.0018486946999094478,0.0018486946999094478,613.0,624.0,-11.0,0.00889248181083266,0.00889248181083266
1.2,dE1,LOAO,27.0,27.0,0.78,0.018402144121434816,0.018114755889659752,-0.00028738823177506395,0.00028738823177506395,8.259199576279787e-08,1329.0,1337.610499891641,0.9935627748942323,-0.006437225105767719,0.006437225105767719,655.0,674.0,-19.0,0.014296463506395787,0.014296463506395787
1.2,dE1,LOAO,27.0,27.0,0.83,0.017385444346726953,0.017577813828951256,0.00019236948222430342,0.00019236948222430342,3.700601769124659e-08,1431.0,1423.3547627052076,1.0053712802283121,0.005371280228312125,0.005371280228312125,717.0,714.0,3.0,0.0020964360587002098,0.0020964360587002098
