n,aspect_ratio,a_root,b_root,Ekin_target,Ekin_pred,dE1_pred,dE2_pred,Q_pred,geometry_hash,N_sites,N_A,N_B,imbalance_ratio,is_kwant_verified,requested_aspect_ratio,E0_Kwant,E1_Kwant,E2_Kwant,E3_Kwant,Ekin_Kwant,dE1_Kwant,dE2_Kwant,Q_Kwant,S_Kwant,failure_mode
1.2,0.815,30.432736805176805,24.802680496219097,0.010689289799576063,0.010689289799576058,0.014088832461856774,0.004129380725644774,1.318032603290028,6abd3a79cbf38227e1b08074f1a277472f5945a9f67e8ea9699e820d44a23b1d,1769,879,890,0.006218202374222725,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.82,30.32403857466613,24.865711631226226,0.010689289799576063,0.010689289799576058,0.014144191357630245,0.004020170132089813,1.323211515716527,e489b9ee4eea17ddcf812374d47fbe7e8c16a047082d97d175244cc42fff5dfc,1773,879,894,0.008460236886632826,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.825,30.216371037498067,24.928506105935906,0.010689289799576063,0.01068928979957606,0.0141995845478525,0.0039108928041084725,1.3283936364430555,74cd79fa04f258c6363b292214e1c7fd2ef24b2553bae059a6cf94e1c29be015,1769,879,890,0.006218202374222725,True,0.83,-3.989462124143198,-3.9752931162853726,-3.9717651306827846,-3.9583919102487264,0.010537875856801993,0.014169007857825378,0.0035279856025880463,1.3445791211024336,0.3347909626692746,ok
1.2,0.835,30.004065885809617,25.053395014651027,0.010689289799576063,0.010689289799576058,0.014310472970548244,0.003692139581574685,1.3387674241104217,4db3c9fc0e0ad2a2452ef9fdef594856cef2739f503c19422d2018989becf950,1775,879,896,0.009577464788732394,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.84,29.89939799884506,25.11549431902985,0.010689289799576063,0.010689289799576058,0.014365967786763006,0.0035826644970305176,1.3439590521095954,35715366599605a56dd2241cee523f4c37ed00935d7060ebb66592abe1fe1051,1773,881,892,0.006204173716864072,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.85,29.692958251159112,25.239014513485245,0.010689289799576063,0.010689289799576054,0.014477057600963014,0.003363519381727147,1.3543516802713296,c6fb8360c1bc742546f241cb6e79901c521cc779d40b6e37302eb6a58638ce95,1769,881,888,0.00395703787450537,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.855,29.59115794753301,25.30044004514072,0.010689289799576063,0.010689289799576056,0.014532652192764357,0.0032538501413713755,1.3595526424347417,a67828a62af53cc1d2d91cac1a5573d8fa6392f53b73a79b81423b9c31bc4867,1765,881,884,0.0016997167138810198,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.86,29.49028554267818,25.361645566703235,0.010689289799576063,0.010689289799576052,0.014588279639649865,0.003144116967484856,1.3647566782433431,960d32babdcc50ce50062a1b57ef7f77f0906d803c8293f42c62e0b632e9781a,1757,877,880,0.001707455890722823,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.865,29.39032752480489,25.42263330895623,0.010689289799576063,0.010689289799576054,0.014643939742611528,0.00303432024732228,1.3699637690796183,3941f2a861d76dd9910427714c88186e49ee74a0555be0b39637085d26a353b1,1761,881,880,0.0005678591709256105,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
1.2,0.875,29.19310194979746,25.543964206072776,0.010689289799576063,0.010689289799576052,0.014755357128735037,0.002814537701612862,1.3803870421138968,f18bd89ec6620ea3390020787b14cf4c461e447cbe5ffb7dbfa7c7f60e5f41e4,1753,881,872,0.00513405590416429,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan,ok
