shape_n,scale_a0,placement_x,placement_y,symmetry_class,theta,event_index,delta_event,xi_event,delta_left,delta_right,event_type,added_count,removed_count,net_site_change,changed_edge_count,event_rank,max_row_length,max_column_length,local_normal_angle,axis_aligned_normal,flatness_proxy,E0_before,E1_before,E2_before,E3_before,E0_after,E1_after,E2_after,E3_after,gap_before,gap_after,center_before,center_after,delta_E0,delta_E1,delta_E2,delta_gap,delta_center,eta_E0,eta_E1,eta_E2,eta_gap,eta_center,projector_distance,principal_angle_1,principal_angle_2,frozen_mode_shift_1,frozen_mode_shift_2,relaxation_residual_1,relaxation_residual_2,bare_event_size,boundary_weight_mode1,boundary_weight_mode2,changed_bond_weight,schur_predictor,K_ref
4.0,33.7,0.13,0.62,C1,0.0,46,0.0107545002485,0.36242665837445004,0.010702681038000001,0.0107545002485,REMOVE_ONLY,0,1,-1,2,1,1,1,92.63121852009914,1,2.6312185200991394,-3.9956512008584486,-3.989108475710858,-3.988993819119632,-3.9818758258283022,-3.9956498203941067,-3.98910731684856,-3.988988075101405,-3.981870374948765,0.0001146565912262254,0.00011924174715494118,-3.9890511474152452,-3.9890476959749828,1.3804643419490503e-06,1.158862298122898e-06,5.744018226838676e-06,4.585155928715778e-06,3.451440262480787e-06,0.00031864934931724164,0.0002674974688037061,0.0013258782677894577,0.0010583807989857515,0.0007966878682965819,0.0036999173795544214,0.0003718916873439799,0.14989902896791343,1.5231377526059992e-06,7.117361688502993e-06,-3.6427545448310117e-07,-1.373343461664317e-06,1,3.392167855649338e-06,1.54627285231366e-05,1.1188423638442569e-05,1.2070560667487263e-05,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,47,0.010948930823,0.36897896873510005,0.0107545002485,0.010948930823,ADD_ONLY,1,0,1,2,1,1,1,-0.44706156082426646,1,0.44706156082426673,-3.9956498203941067,-3.98910731684856,-3.988988075101405,-3.981870374948765,-3.9956514560478,-3.989114196549547,-3.988988565001578,-3.981872262964128,0.00011924174715494118,0.00012563154796918496,-3.9890476959749828,-3.9890513807755625,-1.6356536933770371e-06,-6.879700987116877e-06,-4.899001728730923e-07,6.3898008142437845e-06,-3.68480057977294e-06,-0.00037755410934197986,-0.0015880252581872828,-0.00011308250895927639,0.0014749427492280064,-0.0008505538835220255,0.003774935598997693,0.0002496145640579186,0.15293860296734074,-2.8449465006019636e-16,-6.088879400678593e-16,-6.879700986832382e-06,-4.899001722642043e-07,1,1.2374379427956999e-05,1.0013791508932359e-06,0.0,-1.1373000277063763e-05,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,48,0.011154682469000001,0.3759127992053001,0.010948930823,0.011154682469000001,REMOVE_ONLY,0,1,-1,2,1,1,1,-70.11165804287312,0,19.888341957126883,-3.9956514560478,-3.989114196549547,-3.988988565001578,-3.981872262964128,-3.995650904288763,-3.9891128407164973,-3.9889864732536626,-3.9818665282141534,0.00012563154796918496,0.0001263674628346756,-3.9890513807755625,-3.98904965698508,5.517590371262315e-07,1.3558330498320004e-06,2.091747915322628e-06,7.359148654906278e-07,1.7237904823552697e-06,0.00012736124564575712,0.0003129637658744565,0.0004828332698635199,0.00016986950398906338,0.00039789851781773416,0.002470326604997278,0.0003186657952800886,0.10008293423392987,1.7221239682254502e-06,2.585344133724382e-06,-3.6629091839344985e-07,-4.935962184017539e-07,1,3.6526069272977056e-06,5.4359863512253525e-06,1.7264384670774878e-06,1.783379423927647e-06,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,49,0.0112580031125,0.37939470489125005,0.011154682469000001,0.0112580031125,ADD_ONLY,1,0,1,2,1,1,1,0.6201507068716194,1,0.6201507068716194,-3.995650904288763,-3.9891128407164973,-3.9889864732536626,-3.9818665282141534,-3.995652524873468,-3.9891197476564177,-3.988986850088622,-3.981868833385352,0.0001263674628346756,0.00013289756779588657,-3.98904965698508,-3.98905329887252,-1.6205847050976274e-06,-6.9069399204479964e-06,-3.768349592370157e-07,6.530104961210981e-06,-3.6418874396204615e-06,-0.00037407577008743335,-0.0015943127573412284,-8.6983930632593e-05,0.0015073288267086354,-0.0008406483439356567,0.0037643083913260532,0.0002377065908334466,0.152508066707308,6.938893903907228e-17,-5.499073418846478e-16,-6.906939920517385e-06,-3.7683495868710837e-07,1,1.2434166335716417e-05,7.748763907311135e-07,0.0,-1.1659289944985303e-05,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,50,0.011387928205,0.3837731805085,0.0112580031125,0.011387928205,ADD_ONLY,1,0,1,2,1,1,1,-0.6829953515006383,1,0.6829953515006366,-3.995652524873468,-3.9891197476564177,-3.988986850088622,-3.981868833385352,-3.9956541217439123,-3.989126397199238,-3.9889875254800384,-3.981871335475428,0.00013289756779588657,0.00013887171919968466,-3.98905329887252,-3.9890569613396383,-1.5968704443203308e-06,-6.649542820369447e-06,-6.753914165713581e-07,5.974151403798089e-06,-3.6624671184704027e-06,-0.0003686018628399951,-0.001534898387868727,-0.00015589901809492476,0.0013789993697738022,-0.0008453987029818259,0.003774135263881923,0.00032691504640059023,0.15290603215984458,3.972516759986888e-16,4.77048955893622e-16,-6.649542820766699e-06,-6.753914170484071e-07,1,1.1927770415879038e-05,1.3522350459906109e-06,0.0,-1.0575535369888427e-05,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,51,0.011516918557,0.3881201553709,0.011387928205,0.011516918557,REMOVE_ONLY,0,1,-1,2,1,1,1,87.54174938641097,1,2.45825061358903,-3.9956541217439123,-3.989126397199238,-3.9889875254800384,-3.981871335475428,-3.9956527164009428,-3.989125228384628,-3.9889817898982103,-3.981866020014046,0.00013887171919968466,0.00014343848641784618,-3.9890569613396383,-3.989053509141419,1.4053429695515263e-06,1.1688146099864127e-06,5.735581828147929e-06,4.566767218161516e-06,3.4521982192892153e-06,0.0003243920246305657,0.0002697947376306819,0.0013239309136480301,0.0010541361760173483,0.00079686282569061,0.003700837471895091,0.00045003104574072787,0.14993609191443,1.5233210304346767e-06,7.119038138372544e-06,-3.5450642044826397e-07,-1.383456310224615e-06,1,3.3949898823034297e-06,1.546742555876806e-05,1.1191409968846331e-05,1.207243567646463e-05,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,52,0.0117709845515,0.39668217938555006,0.011516918557,0.0117709845515,REMOVE_ONLY,0,1,-1,2,1,1,1,-100.88862947397894,0,10.888629473978938,-3.9956527164009428,-3.989125228384628,-3.9889817898982103,-3.981866020014046,-3.995651977559104,-3.9891237538639484,-3.988978840746605,-3.9818595849080807,0.00014343848641784618,0.000144913117343215,-3.989053509141419,-3.9890512973052767,7.388418388210027e-07,1.4745206797783794e-06,2.9491516051471933e-06,1.474630925368814e-06,2.2118361422407418e-06,0.0001705451303843646,0.00034036015338347557,0.0006807457544982612,0.0003403856011147857,0.0005105529538896144,0.0028729327480762528,0.00042736040480833724,0.11639396583683322,1.8821701613692954e-06,3.65108076612157e-06,-4.0764948159091596e-07,-7.019291609743766e-07,1,4.085872943688617e-06,7.83377680260529e-06,3.5378163015357814e-06,3.747903858916673e-06,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,53,0.011949959599500001,0.40271363850315006,0.0117709845515,0.011949959599500001,REMOVE_ONLY,0,1,-1,2,1,1,1,-117.7819969784967,0,27.781996978496693,-3.995651977559104,-3.9891237538639484,-3.988978840746605,-3.9818595849080807,-3.9956515637231407,-3.989122618542015,-3.9889773016874717,-3.981854972618247,0.000144913117343215,0.00014531685454333143,-3.9890512973052767,-3.9890499601147433,4.1383596327548844e-07,1.1353219333543052e-06,1.5390591334707437e-06,4.0373720011643854e-07,1.3371905334125245e-06,9.552478569321515e-05,0.00026206370156448,0.0003552574134213389,9.31937118568589e-05,0.0003086605574929094,0.0020758748334438596,0.00029475352751026613,0.08410199289298731,1.4281205095306726e-06,1.9007809606876036e-06,-2.927985761763674e-07,-3.6172182721685986e-07,1,2.9534981528811504e-06,3.90698875503989e-06,9.453201141630331e-07,9.534906021587398e-07,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,54,0.012070412504,0.40677290138480005,0.011949959599500001,0.012070412504,ADD_ONLY,1,0,1,2,1,1,1,0.9108954602067637,1,0.9108954602067637,-3.9956515637231407,-3.989122618542015,-3.9889773016874717,-3.981854972618247,-3.9956531412174052,-3.9891291606661583,-3.9889779810433836,-3.981857928042875,0.00014531685454333143,0.00015117962277466646,-3.9890499601147433,-3.9890535708547707,-1.5774942645485623e-06,-6.542124143305017e-06,-6.793559119699921e-07,5.862768231335025e-06,-3.61074002741546e-06,-0.0003641293046659747,-0.0015101031863477862,-0.00015681413327809732,0.0013532890530696888,-0.0008334586597616877,0.0037584302878120005,0.0003630706937839269,0.1522696714051001,5.447031714567174e-16,-3.0878077872387166e-16,-6.54212414384972e-06,-6.793559116612113e-07,1,1.1730725281172566e-05,1.351635150108116e-06,0.0,-1.037909013106445e-05,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,55,0.012470782760999999,0.4202653790457,0.012070412504,0.012470782760999999,ADD_ONLY,1,0,1,2,1,1,1,-0.9930143820191152,1,0.993014382019112,-3.9956531412174052,-3.9891291606661583,-3.9889779810433836,-3.981857928042875,-3.995654690220408,-3.989135753608592,-3.9889786214177776,-3.9818610825653034,0.00015117962277466646,0.0001571321908144796,-3.9890535708547707,-3.989057187513185,-1.54900300275429e-06,-6.592942433769622e-06,-6.403743939564777e-07,5.952568039813144e-06,-3.6166584140850944e-06,-0.0003575527334673634,-0.0015218334532571785,-0.00014781612081740084,0.0013740173324397775,-0.0008348247870885437,0.0037593762835694453,0.0003679209717809331,0.15230798626543515,-3.7990444123892075e-16,-7.91033905045424e-16,-6.592942433389717e-06,-6.403743931654438e-07,1,1.1826729555403807e-05,1.2724963754576822e-06,0.0,-1.0554233179946126e-05,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,56,0.0129112561675,0.43510933284475,0.012470782760999999,0.0129112561675,ADD_ONLY,1,0,1,2,1,1,1,-12.626542664049222,0,12.626542664049225,-3.995654690220408,-3.989135753608592,-3.9889786214177776,-3.9818610825653034,-3.9956553964374915,-3.98913859028709,-3.9889799734750486,-3.981867312796858,0.0001571321908144796,0.00015861681204132339,-3.989057187513185,-3.9890592818810693,-7.06217083479288e-07,-2.836678497875056e-06,-1.3520572710312706e-06,1.4846212268437853e-06,-2.0943678844531632e-06,-0.0001630144345558915,-0.0006547838506961291,-0.0003120922117013732,0.0003426916389947559,-0.00048343803119875114,0.0027769375487788264,0.0004465570810517623,0.1125046843344863,3.3306690738754696e-16,1.7694179454963432e-16,-2.836678498208123e-06,-1.3520572712082124e-06,1,4.938336709720225e-06,2.4574831985447964e-06,0.0,-2.480853511175429e-06,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,57,0.0131176924675,0.44206623615475005,0.0129112561675,0.0131176924675,ADD_ONLY,1,0,1,2,1,1,1,1.2827780870104952,1,1.2827780870104952,-3.9956553964374915,-3.98913859028709,-3.9889799734750486,-3.981867312796858,-3.995656919990046,-3.9891448096946354,-3.9889808529684743,-3.981870912772869,0.00015861681204132339,0.00016395672616109636,-3.9890592818810693,-3.989062831331555,-1.5235525543388917e-06,-6.219407545415834e-06,-8.794934256428633e-07,5.3399141197729705e-06,-3.5494504855293485e-06,-0.0003516780660956958,-0.001435611270253761,-0.00020301140659251713,0.0012325998636612439,-0.0008193113384231391,0.0037351599639575254,0.0004488982375819185,0.1513266558100762,-1.0408340855860843e-16,-2.0296264668928643e-16,-6.21940754531175e-06,-8.794934254399006e-07,1,1.1123224173947336e-05,1.722624473807461e-06,0.0,-9.400599700139875e-06,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,58,0.013281522034,0.44758729254580004,0.0131176924675,0.013281522034,REMOVE_ONLY,0,1,-1,2,1,1,1,92.01253532491606,1,2.0125353249160582,-3.995656919990046,-3.9891448096946354,-3.9889808529684743,-3.981870912772869,-3.995655466378675,-3.989143642670322,-3.9889748883427845,-3.9818659815897828,0.00016395672616109636,0.00016875432753771236,-3.989062831331555,-3.9890592655065533,1.4536113708274456e-06,1.1670243131867153e-06,5.964625689802716e-06,4.797601376616001e-06,3.5658250014947157e-06,0.00033553370659349097,0.0002693814876154712,0.0013768005715331158,0.0011074190839176446,0.0008230910295742935,0.003756131186505272,0.0005276804640463993,0.1521760427195036,1.5137363930540354e-06,7.41285537971155e-06,-3.467120798673201e-07,-1.4482296899088337e-06,1,3.3796139029080837e-06,1.611865439146774e-05,1.179821156947343e-05,1.2739040488559658e-05,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,59,0.0134220312935,0.45232245459095,0.013281522034,0.0134220312935,ADD_ONLY,1,0,1,2,1,1,1,-1.3854534867733501,1,1.3854534867733435,-3.995655466378675,-3.989143642670322,-3.9889748883427845,-3.9818659815897828,-3.9956569640009647,-3.989149972091494,-3.9889756958729414,-3.98186983263639,0.00016875432753771236,0.00017427621855237163,-3.9890592655065533,-3.9890628339822176,-1.4976222897367109e-06,-6.329421171624716e-06,-8.075301569654414e-07,5.521891014659275e-06,-3.5684756642950788e-06,-0.00034569264387794915,-0.001461005457805173,-0.0001864002939096452,0.0012746051638955278,-0.0008237028758574091,0.0037448779441305634,0.00046150631586224,0.15172033758158426,-5.325601071248798e-16,1.8908485888147197e-16,-6.329421171092156e-06,-8.075301571545263e-07,1,1.1331838512945527e-05,1.580573312575789e-06,0.0,-9.751265200369738e-06,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,60,0.0135713769825,0.45735540431025,0.0134220312935,0.0135713769825,ADD_ONLY,1,0,1,2,1,1,1,169.77675527129648,0,10.22324472870352,-3.9956569640009647,-3.989149972091494,-3.9889756958729414,-3.98186983263639,-3.995657735663589,-3.9891530947451628,-3.9889770174292494,-3.981876188276202,0.00017427621855237163,0.00017607731591340325,-3.9890628339822176,-3.989065056087206,-7.716626244658187e-07,-3.122653668974351e-06,-1.3215563079427284e-06,1.8010973610316228e-06,-2.2221049884585398e-06,-0.00017812107542835998,-0.0007207948293375756,-0.0003050517458621825,0.00041574308347539315,-0.000512923287599879,0.0028835485010960593,0.0005107051012485268,0.11682372395908958,-4.683753385137379e-16,-2.0122792321330962e-16,-3.122653668505976e-06,-1.3215563077415005e-06,1,5.466970440548959e-06,2.4174553139974174e-06,0.0,-3.049515126551542e-06,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,61,0.013705074671499999,0.46186101642955,0.0135713769825,0.013705074671499999,REMOVE_ONLY,0,1,-1,2,1,1,1,88.12834867860303,1,1.8716513213969677,-3.995657735663589,-3.9891530947451628,-3.9889770174292494,-3.981876188276202,-3.9956562522954595,-3.9891522844043124,-3.9889707031112955,-3.9818715369269078,0.00017607731591340325,0.00018158129301681925,-3.989065056087206,-3.989061493757804,1.4833681296622103e-06,8.103408504211984e-07,6.31431795383719e-06,5.503977103415991e-06,3.562329402129194e-06,0.00034240238950861824,0.00018704907969395795,0.0014575192174334753,0.0012704701377395174,0.0008222841485637166,0.003754076998014634,0.00048498927414532316,0.15209296014506118,1.0505431261489256e-06,7.867281740136373e-06,-2.4020227572772723e-07,-1.552963786299183e-06,1,2.3608682121399714e-06,1.712198494108566e-05,1.3633446750027824e-05,1.4761116728945687e-05,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,62,0.014163990919,0.4773264939703001,0.013705074671499999,0.014163990919,REMOVE_ONLY,0,1,-1,2,1,1,1,102.7863778426147,0,12.786377842614698,-3.9956562522954595,-3.9891522844043124,-3.9889707031112955,-3.9818715369269078,-3.9956555330938692,-3.9891506000823833,-3.9889681221345854,-3.9818650806054077,0.00018158129301681925,0.00018247794779790993,-3.989061493757804,-3.9890593611084846,7.192015902823812e-07,1.6843219290407774e-06,2.5809767101314662e-06,8.966547810906889e-07,2.132649319364077e-06,0.00016601161783566333,0.0003887880841397449,0.0005957608061974125,0.00020697272205766757,0.0004922744451173247,0.0028074633065883784,0.0005457844445480158,0.1137409911646343,2.136323682963917e-06,3.198175943235071e-06,-4.520017539231397e-07,-6.171992331036047e-07,1,4.618747702989939e-06,6.838178731302185e-06,2.1237016813936172e-06,2.2194310283122458e-06,0.00433223650042569
4.0,33.7,0.13,0.62,C1,0.0,63,0.014758054668,0.4973464423116001,0.014163990919,0.014758054668,ADD_ONLY,1,0,1,2,1,1,1,1.749695595602363,1,1.749695595602363,-3.9956555330938692,-3.9891506000823833,-3.9889681221345854,-3.9818650806054077,-3.995656992031482,-3.989156526393042,-3.9889691375168965,-3.981869319082612,0.00018247794779790993,0.00018738887614544453,-3.9890593611084846,-3.9890628319549695,-1.4589376129414688e-06,-5.926310658654899e-06,-1.0153823111203053e-06,4.910928347534593e-06,-3.470846484887602e-06,-0.0003367631505801015,-0.0013679564026739014,-0.0002343783196094056,0.0011335780830644957,-0.0008011673611416535,0.0037005538696806345,0.0005525881328074957,0.14992425896831466,-2.931682674400804e-16,-4.562322741819003e-16,-5.92631065836173e-06,-1.015382310664073e-06,1,1.0582993845480383e-05,1.962778100053982e-06,0.0,-8.6202157454264e-06,0.00433223650042569
