shape_n,scale_a0,deformation_mode,delta,xi,metric,frac_ambiguous,n_placements,mean,std,median,min,max,q5,q25,q75,q95,frac_neg,count
2.0,24.3,area_preserving,0.00205761316872428,0.05,chi_plus,0.0,256,-0.000597843810889488,0.013899847529399507,4.316547119742608e-13,-0.046712294606071396,0.0238148502364206,-0.027069972714797382,-0.007185376551391175,0.007156288134973598,0.01956891276782602,0.4453125,256
2.0,24.3,area_preserving,0.00205761316872428,0.05,chi_center,0.0,256,-0.0005498548314585432,0.010668841794438392,0.0,-0.02760279323825365,0.02565016162820299,-0.019177890816282073,-0.006641109385297161,0.006624832043788497,0.013493153297165826,0.484375,256
2.0,24.3,area_preserving,0.00205761316872428,0.05,chi_split,0.0,256,-9.597795886441866e-05,0.02362473414772939,0.0,-0.06439668888633499,0.050263413490180035,-0.042394477831025894,-0.012561130794816132,0.018838707243685526,0.03617629621266438,0.46875,256
2.0,24.3,area_preserving,0.00205761316872428,0.05,legacy_raw_ratio,0.0,256,0.042681814728196446,0.023590753506606228,0.04366908087801579,2.158273559871304e-13,0.10228044586092276,0.007545807464900411,0.019284749060519246,0.058717400876572505,0.08273953300064728,0.0,256
2.0,24.3,area_preserving,0.00205761316872428,0.05,sorted_baseline_corrected_ratio,0.0,256,0.005366160094559248,0.018510756580045966,0.003268547817958822,-0.046497219031801144,0.050263413490180035,-0.02423352416034241,-0.005744150578348649,0.02001377682341121,0.03617629621266438,0.37890625,256
2.0,24.3,area_preserving,0.004,0.09720000000000001,chi_minus,0.015625,256,0.001213737677825699,0.015221702573893981,0.0,-0.03171111589517217,0.03625570046827953,-0.019553588984455583,-0.011508695798911894,0.012659121170544019,0.02846447886682979,0.49206349206349204,252
2.0,24.3,area_preserving,0.004,0.09720000000000001,chi_plus,0.015625,256,-0.0011727739435194028,0.012678925658360844,5.551115123125783e-14,-0.03726783888513552,0.032214431522459286,-0.021879487472897807,-0.008756519070979296,0.007827836065843474,0.015527240490303962,0.4880952380952381,252
2.0,24.3,area_preserving,0.004,0.09720000000000001,chi_center,0.015625,256,2.0481867154249525e-05,0.006758506627867508,1.1102230246251565e-13,-0.02099305222469372,0.016618455697559043,-0.009186484191175959,-0.006365413220299487,0.004833670316173322,0.01332005059090368,0.47619047619047616,252
2.0,24.3,area_preserving,0.004,0.09720000000000001,chi_split,0.015625,256,-0.0023865116213451017,0.02453978652802432,0.0023258626867250776,-0.06100736715541899,0.047933471898131685,-0.04526276915121641,-0.023176542997160876,0.014802253618356742,0.0312658166153279,0.4246031746031746,252
2.0,24.3,area_preserving,0.004,0.09720000000000001,legacy_raw_ratio,0.015625,256,0.028726541677884288,0.014411437751878748,0.028622170111181067,7.029171378292176e-05,0.062235505799201896,0.006791065231792627,0.017420025590020316,0.038988505679488084,0.05594337834313734,0.0,252
2.0,24.3,area_preserving,0.004,0.09720000000000001,sorted_baseline_corrected_ratio,0.015625,256,0.009406355997715155,0.015160483075355268,0.008713802954141148,-0.04074651541863261,0.047933471898131685,-0.01804022718459586,0.0003305262963049227,0.020692966191060425,0.033241588480553697,0.21428571428571427,252
2.0,24.3,area_preserving,0.00411522633744856,0.1,chi_minus,0.015625,256,0.0011038795587094974,0.014838141807636492,0.0,-0.030823204650107346,0.0352405408551677,-0.019006088492950178,-0.011186452316461424,0.012304665777741806,0.027667473458607112,0.4880952380952381,252
2.0,24.3,area_preserving,0.00411522633744856,0.1,chi_plus,0.015625,256,-0.0012211347337191297,0.012990103279414317,5.39568389967826e-14,-0.036224339396351724,0.03339266837266974,-0.022423033328455407,-0.008511336537180725,0.007608656655999856,0.015968020559834727,0.4880952380952381,252
