shape_n,scale_a0,deformation_mode,placement_grid,delta,xi,dx,dy,theta,n_sites_0,n_sites_delta,added_sites,removed_sites,symmetric_difference,cut_bonds,E0_0,Eminus_0,Eplus_0,E0_delta,Eminus_delta,Eplus_delta,S0_sorted,Sdelta_sorted,legacy_raw_ratio,sorted_baseline_corrected_ratio,chi_minus,chi_plus,chi_center,chi_split,overlap_11,overlap_12,overlap_21,overlap_22,assignment_score_best,assignment_score_second,assignment_margin,subspace_sv_min,subspace_sv_max,branch_status,symmetry_class_0,symmetry_class_delta,solve_status
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.0,0.0,3563,3564,3,2,5,4,-3.995012936221072,-3.987350858947892,-3.987340105722625,-3.9950125395866474,-3.987336837855564,-3.9873520916437823,1.0753225267112754e-05,1.52537882183168e-05,0.005140526629572761,0.0015166897145557634,0.004725108114557841,-0.004039255430031918,0.00034292634218813234,-0.00876436354458976,1.3074202891135968e-22,0.9999890336165542,0.9999805384020062,1.3071955691410895e-22,1.9999695720185604,2.6146158582546863e-22,1.9999695720185604,0.9999902691536584,0.9999945167932445,OK,Cs_axis,Cs_axis,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.03125,0.0,3562,3563,3,2,5,4,-3.9950115577711456,-3.987345774192111,-3.9873381857733587,-3.9950112485331455,-3.9873333561068405,-3.987349086937945,7.588418752035864e-06,1.57308311043991e-05,0.005301290082182497,0.002743992962746411,0.004184894736092737,-0.0036736924655258463,0.0002556011352834453,-0.007858587201618583,0.15464894089049155,0.8453405237429241,0.8453305831694748,0.1546495748785851,1.690671106912399,0.30929851576907663,1.3813725911433223,0.9999896728112155,0.9999951384643796,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.0625,0.0,3563,3564,5,4,9,8,-3.995012644460972,-3.987350472259921,-3.9873390159491677,-3.995012123214184,-3.987323997548389,-3.9873628496554323,1.1456310753388266e-05,3.8852107043130246e-05,0.013093160073534893,0.009232383349643047,0.008921977786264801,-0.008031959011161938,0.00044500938747660257,-0.01695393679742674,0.28238848135406763,0.7175711114429101,0.7175638588876905,0.2824040903189284,1.4351349703306004,0.564792571672996,0.8703423986576044,0.9999742365288717,0.9999895340862807,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.09375,0.0,3563,3567,7,3,10,6,-3.9950128170388446,-3.9873530626670637,-3.9873372783326286,-3.9950163018863245,-3.987337910155315,-3.9873701148331757,1.5784334435053893e-05,3.220467786091419e-05,0.010852976439128081,0.0055336557345149195,0.00510639645937383,-0.011065900684367413,-0.002979752112571621,-0.016172297143741243,0.008973027375381302,0.9909959951258042,0.9909569053125054,0.008971865323658816,1.9819529004383094,0.017944892699040118,1.9640080077392692,0.999964163121362,0.9999847326886265,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.125,0.0,3565,3568,5,2,7,4,-3.9950153202527656,-3.987357615622027,-3.987345452043828,-3.995017714116121,-3.987347709398607,-3.9873675153971377,1.2163578198887137e-05,1.9805998530575408e-05,0.006674621504803913,0.0025754956517789473,0.0033383972924680982,-0.00743535006536078,-0.0020484763863715116,-0.010773747357828878,0.0061801843449125924,0.9938076710206007,0.9937732869660295,0.006179231125470379,1.9875809579866304,0.01235941547038297,1.9752215425162474,0.9999759530377123,0.9999942333850392,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.15625,0.0,3565,3570,5,0,5,0,-3.995015280017566,-3.987354567987088,-3.987348365597173,-3.9950204290687266,-3.987354477220725,-3.98737449134503,6.202389914999884e-06,2.001412430496785e-05,0.006744759890774166,0.004654554489419205,3.0588264287256806e-05,-0.00880437702784187,-0.0043868943816276484,-0.008834965292129127,0.19773187223726402,0.8022646831366462,0.8022365500536599,0.19773355979501883,1.6045012331903061,0.39546543203228285,1.2090358011580233,0.9999837567318751,0.9999995757474075,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.1875,0.0,3564,3569,7,2,9,4,-3.995013868265051,-3.9873526224772955,-3.9873431756897526,-3.9950187980812104,-3.987342171837998,-3.9873784715566476,9.446787542888302e-06,3.6299718649601687e-05,0.012233005184915768,0.00904943778296241,0.003521865443257166,-0.01189470714361196,-0.004186420850252226,-0.015416572586869126,0.023205868204919246,0.9767786191472796,0.9767461980036076,0.02320251091689826,1.9535248171508872,0.04640837912181751,1.9071164380290697,0.9999734187067386,0.9999931790530685,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.21875,0.0,3567,3570,6,3,9,6,-3.9950177118979147,-3.987364970027544,-3.987350229102246,-3.9950202781627904,-3.9873458359501677,-3.987382365191365,1.4740925298184493e-05,3.652924119723622e-05,0.012310354283468605,0.007342662457980431,0.006448184075814378,-0.010829862033142401,-0.0021908389786640114,-0.01727804610895678,0.3595886217778954,0.6403676751412894,0.6403701993244022,0.3596034084719078,1.2807378744656917,0.7191920302498032,0.5615458442158885,0.9999762611903268,0.9999886908217064,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.25,0.0,3570,3570,5,5,10,10,-3.9950220625267723,-3.98738191069271,-3.9873554071625263,-3.9950200802348834,-3.987388043752996,-3.9873391102398075,2.650353018385232e-05,4.893351318857597e-05,0.016490593944550103,0.007558904272591871,-0.0020668413163318355,0.005492062956260035,0.0017126108198892709,0.007558904272591871,0.5709699448563805,0.42900620898851244,0.4289972047041034,0.5709588409532332,1.1419287858096139,0.8580034136926158,0.2839253721169981,0.999978018971145,0.9999880804673493,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.28125,0.0,3568,3570,5,3,8,6,-3.9950191952845517,-3.9873788210728827,-3.98734392291996,-3.9950201014411704,-3.9873840131823273,-3.987343331230464,3.4898152922568926e-05,4.068195186324175e-05,0.01370981777791247,0.0019491402430067417,-0.00174974088283264,0.00019939936017410176,-0.0007751707614040981,0.0019491402430067417,0.7352771378202972,0.2646982711508886,0.2646912577389487,0.7352826492544112,1.4705597870747085,0.5293895288898374,0.9411702581848711,0.9999835611045882,0.9999910967029318,OK,Cs_diag,Cs_diag,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.3125,0.0,3565,3567,6,4,10,8,-3.9950131170158443,-3.9873509726595255,-3.987340985422474,-3.9950158750739875,-3.9873324724354986,-3.9873735496438765,9.987237051589659e-06,4.107720837787099e-05,0.013843019223342523,0.010477320336956808,0.0062345754970789535,-0.010974142612649285,-0.0023697835577851656,-0.017208718109728238,0.47251954279406494,0.527466528319649,0.5274442676069899,0.4725073057350794,1.0549107959266388,0.9450268485291443,0.10988394739749452,0.9999755495078434,0.9999932723985044,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.34375,0.0,3567,3566,6,7,13,15,-3.995015804855244,-3.9873575929168665,-3.98734810041808,-3.995014328817653,-3.987320178359231,-3.9873779534931875,9.492498786567438e-06,5.7775133956550206e-05,0.01947022014335742,0.016271248052284193,0.012608705923203178,-0.010060486311227468,0.0012741098059878553,-0.022669192234430646,0.31830806114831456,0.6816409929128513,0.681655432995117,0.31831604132282476,1.3632964259079683,0.6366241024711393,0.726672323436829,0.9999745084654045,0.9999857552977844,OK,C1,C1,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.28125,0.375,0.0,3567,3567,5,5,10,10,-3.995016151736334,-3.9873559849362734,-3.9873515418094243,-3.9950145804567003,-3.9873255336441282,-3.9873740897468526,4.443126849107415e-06,4.855610272436195e-05,0.016363406618109977,0.014866072869960778,0.01026208545292695,-0.007598654913332226,0.0013317152698721912,-0.017860740366259176,0.06981935548515908,0.9301459945401154,0.9301486324745545,0.06981999773220336,1.8602946270146699,0.13963935321736243,1.7206552737973073,0.9999825801435955,0.9999844096991661,OK,C1,C1,OK
