n,rAR,level_index,model,lambda_candidate,p_used,lambda_raw_251,lambda_raw_501,lambda_bessel_if_available,abs_error_vs_bessel_if_available,rel_error_vs_bessel_if_available,used_for_uncertainty_true_false,notes
2.0,1.0,4,richardson_p1,26.370310352159773,1.0,26.238070624374185,26.30419048826698,26.374616427163392,0.004306075003619014,0.00016326588162943515,True,
2.0,1.0,4,richardson_p2,26.32623044289791,2.0,26.238070624374185,26.30419048826698,26.374616427163392,0.04838598426548302,0.0018345663679737905,True,
2.0,1.0,4,richardson_observed_p,26.367128623208725,1.0360132277132041,26.238070624374185,26.30419048826698,26.374616427163392,0.007487803954667527,0.00028390190907025996,True,primary triple observed p
2.0,1.0,5,raw_N501,30.389044060910486,,30.30916244945362,30.389044060910486,30.471262343662087,0.08221828275160092,0.002698223717295455,True,raw finest-grid FD value
2.0,1.0,5,richardson_p1,30.46892567236735,1.0,30.30916244945362,30.389044060910486,30.471262343662087,0.0023366712947350265,7.668442706381824e-05,True,
2.0,1.0,5,richardson_p2,30.41567126472944,2.0,30.30916244945362,30.389044060910486,30.471262343662087,0.05559107893264681,0.0018243772872182813,True,
2.0,1.0,5,richardson_observed_p,30.45817288980366,1.108054025647892,30.30916244945362,30.389044060910486,30.471262343662087,0.013089453858427191,0.0004295671676086551,True,primary triple observed p
4.0,1.0,0,raw_N501,5.047641002452271,,5.040779685328803,5.047641002452271,,,,True,raw finest-grid FD value
4.0,1.0,0,richardson_p1,5.054502319575739,1.0,5.040779685328803,5.047641002452271,,,,True,
4.0,1.0,0,richardson_p2,5.049928108160094,2.0,5.040779685328803,5.047641002452271,,,,True,
4.0,1.0,0,richardson_observed_p,5.058707307366176,0.6960105578391392,5.040779685328803,5.047641002452271,,,,True,primary triple observed p
4.0,1.0,1,raw_N501,12.706170952942065,,12.686362681296401,12.706170952942065,,,,True,raw finest-grid FD value
4.0,1.0,1,richardson_p1,12.725979224587729,1.0,12.686362681296401,12.706170952942065,,,,True,
4.0,1.0,1,richardson_p2,12.712773710157286,2.0,12.686362681296401,12.706170952942065,,,,True,
4.0,1.0,1,richardson_observed_p,12.734518403357313,0.7644882509676566,12.686362681296401,12.706170952942065,,,,True,primary triple observed p
4.0,1.0,2,raw_N501,12.706170952945524,,12.686362681314517,12.706170952945524,,,,True,raw finest-grid FD value
4.0,1.0,2,richardson_p1,12.72597922457653,1.0,12.686362681314517,12.706170952945524,,,,True,
4.0,1.0,2,richardson_p2,12.71277371015586,2.0,12.686362681314517,12.706170952945524,,,,True,
4.0,1.0,2,richardson_observed_p,12.734518403252489,0.7644882527953735,12.686362681314517,12.706170952945524,,,,True,primary triple observed p
4.0,1.0,3,raw_N501,20.96463017379748,,20.912941573533637,20.96463017379748,,,,True,raw finest-grid FD value
4.0,1.0,3,richardson_p1,21.016318774061325,1.0,20.912941573533637,20.96463017379748,,,,True,
4.0,1.0,3,richardson_p2,20.981859707218764,2.0,20.912941573533637,20.96463017379748,,,,True,
4.0,1.0,3,richardson_observed_p,21.029074041321433,0.8496563872975919,20.912941573533637,20.96463017379748,,,,True,primary triple observed p
4.0,1.0,4,raw_N501,24.761955607538017,,24.74317845512022,24.761955607538017,,,,True,raw finest-grid FD value
4.0,1.0,4,richardson_p1,24.780732759955814,1.0,24.74317845512022,24.761955607538017,,,,True,
4.0,1.0,4,richardson_p2,24.76821465834395,2.0,24.74317845512022,24.761955607538017,,,,True,
4.0,1.0,4,richardson_observed_p,24.795114967257238,0.6473329814239855,24.74317845512022,24.761955607538017,,,,True,primary triple observed p
4.0,1.0,5,raw_N501,25.875193527794078,,25.824008561814185,25.875193527794078,,,,True,raw finest-grid FD value
4.0,1.0,5,richardson_p1,25.92637849377397,1.0,25.824008561814185,25.875193527794078,,,,True,
4.0,1.0,5,richardson_p2,25.89225518312071,2.0,25.824008561814185,25.875193527794078,,,,True,
4.0,1.0,5,richardson_observed_p,25.937684575772632,0.8632064330826036,25.824008561814185,25.875193527794078,,,,True,primary triple observed p
