n,rAR,N_grid,h,num_interior_points,level_index,lambda_fd_unit,lambda_bessel_unit_if_available,abs_error_vs_bessel_if_available,rel_error_vs_bessel_if_available,degeneracy_group_if_available,source
2.0,1.0,151,0.013333333333333334,17647,4,26.15275503970217,26.374616427163392,0.22186138746122097,0.00841192849472967,m2_s1,existing_grid
2.0,1.0,151,0.013333333333333334,17647,5,30.205711011253392,30.471262343662087,0.26555133240869466,0.008714812317709193,m0_s2,existing_grid
2.0,1.0,201,0.01,31397,0,5.743903123568527,5.783185962946783,0.03928283937825583,0.006792594882810845,m0_s1,existing_grid
2.0,1.0,201,0.01,31397,1,14.581423060998993,14.681970642123895,0.1005475811249017,0.006848370942550562,m1_s1,existing_grid
2.0,1.0,201,0.01,31397,2,14.581423061022576,14.681970642123895,0.10054758110131878,0.006848370940944312,m1_s1,existing_grid
2.0,1.0,201,0.01,31397,3,26.189264789170988,26.374616427163392,0.1853516379924045,0.007027652459108737,m2_s1,existing_grid
2.0,1.0,201,0.01,31397,4,26.1948541352889,26.374616427163392,0.17976229187449277,0.0068157310409016755,m2_s1,existing_grid
2.0,1.0,201,0.01,31397,5,30.2595683879728,30.471262343662087,0.21169395568928806,0.006947331334742672,m0_s2,existing_grid
2.0,1.0,251,0.008,49053,0,5.752993833808078,5.783185962946783,0.030192129138705504,0.0052206740942014095,m0_s1,existing_grid
2.0,1.0,251,0.008,49053,1,14.6047963185657,14.681970642123895,0.07717432355819476,0.005256400890543581,m1_s1,existing_grid
2.0,1.0,251,0.008,49053,2,14.604796379863082,14.681970642123895,0.07717426226081336,0.0052563967155330946,m1_s1,existing_grid
2.0,1.0,251,0.008,49053,3,26.231413621348473,26.374616427163392,0.1432028058149193,0.0054295692303389775,m2_s1,existing_grid
2.0,1.0,251,0.008,49053,4,26.238070624374185,26.374616427163392,0.13654580278920747,0.005177167340662367,m2_s1,existing_grid
2.0,1.0,251,0.008,49053,5,30.30916244945362,30.471262343662087,0.16209989420846682,0.005319763007527091,m0_s2,existing_grid
2.0,1.0,501,0.004,196297,0,5.767724660684243,5.783185962946783,0.0154613022625405,0.0026734921480308575,m0_s1,new_grid
2.0,1.0,501,0.004,196297,1,14.642587607133716,14.681970642123895,0.0393830349901787,0.002682407964853521,m1_s1,new_grid
2.0,1.0,501,0.004,196297,2,14.642587610924581,14.681970642123895,0.03938303119931419,0.0026824077066549042,m1_s1,new_grid
