n,candidate_rank,candidate_type,a,b,aspect_ratio,Ekin_target,Ekin_pred,dE1_pred,Q_pred,E0_Kwant,E1_Kwant,E2_Kwant,E3_Kwant,Ekin_Kwant,dE1_Kwant,Q_Kwant,Ekin_error,dE1_error,Q_error,passes_Ekin_constraint_pred,passes_Ekin_constraint_Kwant,geometry_hash,N_sites,N_A,N_B,imbalance_ratio,Q_gain_vs_isotropic_same_n,Q_gain_vs_best_training,Q_gain_vs_random_best_of_5,beats_isotropic_same_n,beats_best_training,beats_random_best_of_5,meaningful_gain_vs_isotropic,meaningful_gain_vs_best_training,meaningful_gain_vs_random_best_of_5,failure_mode
1.2,,random_feasible_baseline,28.712686474821012,25.845192098192058,0.9001314495895901,0.010689289799576063,0.01068928979957605,0.015035928036474005,1.4066348951518133,-3.9893876274846813,-3.9741986597943093,-3.9724640393976496,-3.9567422832123817,0.010612372515318658,0.015188967690372035,1.431250897803219,7.691728425739293e-05,0.00015303965389803012,0.024616002651405733,True,True,2b74e2221fe8f80707fbc43101c6467873e2c5326206a6a2a544b6124d7dec16,1739,881,858,0.013225991949396205,-0.08477868913347408,-0.0846755200145013,-0.03671884521847102,False,False,False,False,False,False,ok
1.2,,random_feasible_baseline,33.22908027070277,23.296194576742256,0.7010785248029244,0.010689289799576063,0.010689289799576066,0.012837309222577375,1.2009506209745102,-3.9894658676940775,-3.9766599044516275,-3.9704486103053402,-3.961203687770347,0.010534132305922483,0.01280596324244998,1.2156637937089732,0.0001551574936535828,3.134598012739451e-05,0.014713172734462932,True,True,e3cc75298116c64f947c8c19e901d632e3dd18cf728f2de7819850410ec38e94,1821,903,918,0.008237232289950576,-0.30036579322771995,-0.30026262410874716,-0.2523059493127169,False,False,False,False,False,False,ok
2.0,1,inverse_candidate,26.924700642325856,26.924700642325856,1.0,0.007727409624868287,0.007727409624868285,0.011909957400741376,1.5412612995709263,-3.992183872365627,-3.9801724570574697,-3.980172457057385,-3.9644860921380056,0.007816127634372894,0.012011415308157414,1.5367475903713435,8.871800950460869e-05,0.00010145790741603739,0.004513709199582827,True,True,bf359e16bad50d3b1bc00fbb12f80535686991f58f137bba155fd5b8a1d3ec92,2261,1137,1124,0.005749668288367979,-2.94364532749114e-12,-4.638780564558687e-06,0.061168418133382474,False,False,True,False,False,True,candidate_not_better_than_isotropic
2.0,2,inverse_candidate,27.341698291186976,26.6581558339073,0.975,0.007727409624868287,0.007727409624868286,0.011616458155894648,1.5032797172432348,-3.9922937631512245,-3.9807128199806168,-3.980190205120186,-3.965141871807998,0.007706236848775472,0.01158094317060776,1.502801354003022,2.1172776092814004e-05,3.551498528688718e-05,0.00047836324021277576,True,True,a47df0a8f1e55b6d4f5e3f986b7ef25febb5fdce4cd5bf7b37eb00834e93a21f,2295,1149,1146,0.00130718954248366,-0.03394623637126504,-0.03395087514888595,0.027222181765061082,False,False,True,False,False,False,candidate_not_better_than_isotropic
2.0,3,inverse_candidate,27.955027996383723,26.2777263166007,0.94,0.007727409624868287,0.007727409624868287,0.01120707559818982,1.4503017365771966,-3.9923289242503546,-3.9810405776581277,-3.9800411393204542,-3.965430988615107,0.0076710757496454285,0.011288346592226883,1.471546750499583,5.6333875222858154e-05,8.127099403706407e-05,0.021245013922386313,True,True,4a8599f39b02adcb58b257d82523f4ad65315005ea01b19fcbee058209a156dc,2307,1153,1154,0.00043346337234503684,-0.06520083987470415,-0.06520547865232507,-0.004032421738378034,False,False,False,False,False,False,candidate_not_better_than_isotropic
2.0,4,inverse_candidate,28.41586173894634,26.0005134911359,0.915,0.007727409624868287,0.007727409624868276,0.010915777597292878,1.41260501606694,-3.992349114863522,-3.981517239502141,-3.979670288158485,-3.966122697523903,0.007650885136477825,0.010831875361381194,1.4157676096504273,7.652448839045103e-05,8.390223591168457e-05,0.003162593583487361,True,True,bc96dfe902d466ad55c5abe90d332b422b6a7a581392412eb770df873f8a962e,2321,1167,1154,0.005601034037052995,-0.12097998072385985,-0.12098461950148076,-0.05981156258753373,False,False,False,False,False,False,candidate_not_better_than_isotropic
2.0,5,inverse_candidate,28.996010386636527,25.66146919217333,0.885,0.007727409624868287,0.007727409624868278,0.010567492460641698,1.3675336204041122,-3.9923599218427652,-3.981733600728864,-3.9795111691206357,-3.966601423144364,0.007640078157234775,0.01062632111390105,1.3908654983900197,8.733146763350262e-05,5.882865325935148e-05,0.023331877985907523,True,True,d1cd8d89600dae7b0505e18355bbcc860b19cce8b08f715a7afefe7dd1fb8bac,2327,1169,1158,0.004727116458960034,-0.14588209198426738,-0.1458867307618883,-0.08471367384794126,False,False,False,False,False,False,candidate_not_better_than_isotropic
2.0,,isotropic_same_n_baseline,26.924700642325856,26.924700642325856,1.0,0.007727409624868287,0.007727409624868285,0.011909957400741376,1.5412612995709263,-3.992183872365637,-3.9801724570574715,-3.98017245705739,-3.964486092138001,0.007816127634363124,0.012011415308165407,1.536747590374287,8.871800949483873e-05,0.00010145790742403099,0.004513709196639182,True,True,bf359e16bad50d3b1bc00fbb12f80535686991f58f137bba155fd5b8a1d3ec92,2261,1137,1124,0.005749668288367979,0.0,-4.638777620913359e-06,0.06116841813632612,False,False,False,False,False,False,ok
2.0,,best_training_baseline,27.0,27.0,1.0,0.007727409624868287,0.007727409624868287,0.011875113966586248,1.536752229151908,-3.9922725903751317,-3.9803974764085455,-3.980397476408456,-3.9648697433473497,0.007727409624868287,0.011875113966586248,1.536752229151908,0.0,0.0,0.0,True,True,ea9c9a7696a5b95665c1cd288cfd6edc48542e3f11cacca4514cae89c36b8df9,2289,1137,1152,0.00655307994757536,4.638777620913359e-06,0.0,0.06117305691394703,False,False,False,False,False,False,ok
2.0,,random_feasible_baseline,28.22164717940297,26.11646740665471,0.9254054960234679,0.007727409624868287,0.0077274096248682875,0.011036906280369527,1.4282802149960634,-3.992381030516264,-3.9814198641531817,-3.979927889107231,-3.966019446696915,0.00761896948373586,0.01096116636308242,1.4386678390668337,0.00010844014113242737,7.57399172871074e-05,0.010387624070770318,True,True,598aad54851d0d1cb09b96008d50127fc7d086ae7b804865d86ce6e9a2174c0a,2329,1167,1162,0.0021468441391155,-0.09807975130745339,-0.0980843900850743,-0.03691133317112727,False,False,False,False,False,False,ok
