a0,count,frac_neg,frac_pos,frac_zero,iqr,max,mean,mean_all,mean_amb_hi,mean_amb_lo,median,median_id,median_swap,metric,min,n,n_ambiguous,n_total,path,q05,q25,q75,q95,std,value
24.3,252,0.5555555555555556,0.4365079365079365,0.007936507936507936,1.991826501016883,3.2270672466364614,0.12574353415876333,,,,-0.12317199590833328,,,dimless_chi_minus,-2.5143785659569318,2.0,4,256,delta,-1.6431691802083592,-0.7770418885965358,1.2147846124203472,2.3781667509303244,1.2913784297445816,0.004
24.3,252,0.42857142857142855,0.5634920634920635,0.007936507936507936,2.0069709714880397,2.524320671943192,-0.12558343862459864,,,,0.11815056937511392,,,dimless_chi_plus,-3.2289877592342475,2.0,4,256,delta,-2.3926458666738593,-1.221369833030339,0.7856011384577005,1.6575135443274491,1.2929925507030229,0.004
24.3,252,0.4642857142857143,0.5277777777777778,0.007936507936507936,0.005734671108370559,0.014907479133130508,8.00477671991122e-05,,,,0.0001169868829031806,,,dimless_chi_center,-0.015067013414526986,2.0,4,256,delta,-0.006530065830456788,-0.0026319093174714814,0.003102761790899078,0.006129738032129009,0.004784880107019296,0.004
24.3,248,0.4475806451612903,0.5524193548387096,0.0,4.67954497262295,3.4129812901384367,-0.32019966500847546,-0.3324272289636244,-0.2534050380152355,-0.39398701473198183,0.8558583201482108,0.8558583201482108,0.8558583201482108,dimless_chi_split,-5.058759109318497,2.0,8,256,delta,-4.039071316852143,-2.849175087282457,1.830369885340493,2.928036661384967,2.5644562333731336,0.008
24.3,248,0.5524193548387096,0.4435483870967742,0.004032258064516129,2.3399990616736828,2.5314984153646245,0.15987358655316738,,,,-0.4276638759612289,,,dimless_chi_minus,-1.7015244495489634,2.0,8,256,delta,-1.462898851670076,-0.9197065303647098,1.4202925313089727,2.0209134044617687,1.2821767424939188,0.008
24.3,248,0.4435483870967742,0.5564516129032258,0.0,2.3428105749860317,1.7114568405985076,-0.16032607845531005,,,,0.4281944441543867,,,dimless_chi_plus,-2.5272606939600593,2.0,8,256,delta,-2.0181579123793214,-1.4288825559689995,0.9139280190170324,1.465137809724273,1.2822846289016638,0.008
24.3,248,0.5040322580645161,0.49193548387096775,0.004032258064516129,0.0030004273401315618,0.005932492485788421,-0.00022624595108310062,,,,-4.379977883162134e-05,,,dimless_chi_center,-0.006832371376275237,2.0,8,256,delta,-0.004392607274129878,-0.0016226813059766476,0.0013777460341549141,0.004040155186728345,0.002567300784435337,0.008
33.7,256,0.36328125,0.62890625,0.0078125,3.654336907897279,5.65256541947194,-0.10475017693787911,-0.10475017693787911,-0.10475017693787911,-0.10475017693787911,0.775624954455395,0.775624954455395,0.775624954455395,dimless_chi_split,-6.34076145801154,2.0,0,256,xi,-5.574179823130891,-1.802420380546906,1.8519165273503733,3.2141638667087196,2.7774495505100014,0.05
33.7,256,0.64453125,0.35546875,0.0,1.825058343270974,3.171341347075844,0.052362158525386115,,,,-0.38660798138240104,,,dimless_chi_minus,-2.8248890000496756,2.0,0,256,xi,-1.6108078775716934,-0.9251566498059686,0.8999016934650054,2.781238128192227,1.3890972856956971,0.05
33.7,256,0.37109375,0.625,0.00390625,1.8273008791710006,2.827676419606305,-0.05238801841250028,,,,0.3870499788209041,,,dimless_chi_plus,-3.1694201116062204,2.0,0,256,xi,-2.7929416947332664,-0.9025186870819042,0.9247821920890963,1.6074711941861939,1.388362710146863,0.05
