spectrum_role,shape_id,shape_role,n,a,b,rAR,alpha,gauge,l_B,l_B_over_a,N_sites,N_plaquettes_inside_dot,phi_total,phi_total_area_proxy,geometry_hash,max_hermiticity_error,max_eigen_imag,E0,E1,E2,E3,E4,E5,dE1,dE2,dE3,dE4,dE5,min_gap_low
primary,circle_n2_r1,circle_baseline;symmetry_baseline,2.0,36.0,36.0,1.0,0.00125,landau,11.283791670955125,0.3134386575265313,4053,3908,4.885,5.089380098815465,8c1aa7d4d3785f75a7f4ad7506502af555961071baf9ca86a8e4343a9d72d45b,0.0,0.0,-3.991777599427101,-3.9904463748478958,-3.9877623528342507,-3.983525232189729,-3.9776432127977372,-3.9747728497653645,0.0013312245792054256,0.0026840220136450377,0.004237120644521752,0.005882019391991733,0.002870363032372758,0.0013312245792054256
primary,circle_n2_r1,circle_baseline;symmetry_baseline,2.0,36.0,36.0,1.0,0.0025,landau,7.978845608028654,0.22163460022301817,4053,3908,9.77,10.17876019763093,8c1aa7d4d3785f75a7f4ad7506502af555961071baf9ca86a8e4343a9d72d45b,0.0,0.0,-3.9843135359228934,-3.9842384363812116,-3.9839440091707843,-3.9831806260126594,-3.981666721778279,-3.97915358456116,7.509954168183341e-05,0.0002944272104272727,0.0007633831581248529,0.0015139042343803588,0.002513137217118988,7.509954168183341e-05
primary,circle_n2_r1,circle_baseline;symmetry_baseline,2.0,36.0,36.0,1.0,0.005,landau,5.641895835477563,0.15671932876326564,4053,3908,19.54,20.35752039526186,8c1aa7d4d3785f75a7f4ad7506502af555961071baf9ca86a8e4343a9d72d45b,0.0,0.0,-3.9687072715849703,-3.9687071485555014,-3.9687063717337923,-3.9687026894243065,-3.9686889001589702,-3.9686464657755662,1.2302946883480104e-07,7.768217091808083e-07,3.6823094857751926e-06,1.3789265336239254e-05,4.2434383404010845e-05,1.2302946883480104e-07
primary,circle_n2_r1,circle_baseline;symmetry_baseline,2.0,36.0,36.0,1.0,0.01,landau,3.989422804014327,0.11081730011150909,4053,3908,39.08,40.71504079052372,8c1aa7d4d3785f75a7f4ad7506502af555961071baf9ca86a8e4343a9d72d45b,0.0,0.0,-3.93766035531635,-3.937660345335461,-3.937660225953053,-3.9376591910844074,-3.9376572259282487,-3.9376524869114693,9.980889004168603e-09,1.1938240795927868e-07,1.0348686454442202e-06,1.9651561586897515e-06,4.739016779442551e-06,9.980889004168603e-09
primary,circle_n2_r1,circle_baseline;symmetry_baseline,2.0,36.0,36.0,1.0,0.02,landau,2.8209479177387813,0.07835966438163282,4053,3908,78.16,81.43008158104745,8c1aa7d4d3785f75a7f4ad7506502af555961071baf9ca86a8e4343a9d72d45b,0.0,0.0,-3.876300212852439,-3.876300210529842,-3.8763001995644206,-3.876300147999359,-3.876299929022848,-3.876299640985164,2.322596781567654e-09,1.0965421459729896e-08,5.15650615540153e-08,2.1897651114599626e-07,2.8803768392648976e-07,2.322596781567654e-09
primary,circle_n2_r1,circle_baseline;symmetry_baseline,2.0,36.0,36.0,1.0,0.04,landau,1.9947114020071635,0.055408650055754544,4053,3908,156.32,162.8601631620949,8c1aa7d4d3785f75a7f4ad7506502af555961071baf9ca86a8e4343a9d72d45b,0.0,0.0,-3.7564910863100582,-3.7564910692631392,-3.756491035986678,-3.756490952920267,-3.7564907470061915,-3.7564902521416568,1.7046918987517756e-08,3.327646114215099e-08,8.306641108291046e-08,2.059140755683586e-07,4.948645346836145e-07,1.7046918987517756e-08
primary,ellipse_n2_r067,ellipse_aspect_ratio_baseline,2.0,36.0,24.12,0.67,0.0,landau,inf,inf,2725,2604,0.0,0.0,52d0a09c085d3009a089ea2f7e64f588efbc5ed61cbbe41bc3bd85aec15e24ca,0.0,0.0,-3.9930215821281716,-3.9856327737097597,-3.9790348174388113,-3.975031360485829,-3.968394828938687,-3.9611130177242715,0.007388808418411941,0.006597956270948391,0.0040034569529820985,0.006636531547142166,0.007281811214415512,0.0040034569529820985
primary,ellipse_n2_r067,ellipse_aspect_ratio_baseline,2.0,36.0,24.12,0.67,0.00125,landau,11.283791670955125,0.3134386575265313,2725,2604,3.255,3.4098846662063615,52d0a09c085d3009a089ea2f7e64f588efbc5ed61cbbe41bc3bd85aec15e24ca,0.0,0.0,-3.990401063048303,-3.9865672845917457,-3.9803876862379446,-3.971826587603773,-3.969794118232832,-3.9611038825718623,0.003833778456557191,0.006179598353801108,0.00856109863417176,0.002032469370941037,0.008690235660969492,0.003833778456557191
primary,ellipse_n2_r067,ellipse_aspect_ratio_baseline,2.0,36.0,24.12,0.67,0.0025,landau,7.978845608028654,0.22163460022301817,2725,2604,6.51,6.819769332412723,52d0a09c085d3009a089ea2f7e64f588efbc5ed61cbbe41bc3bd85aec15e24ca,0.0,0.0,-3.984068235727862,-3.9830592659632065,-3.9807687930652573,-3.976805519213287,-3.970921324127307,-3.9629678842842635,0.0010089697646553653,0.0022904728979491473,0.0039632738519701505,0.005884195085980259,0.00795343984304342,0.0010089697646553653
primary,ellipse_n2_r067,ellipse_aspect_ratio_baseline,2.0,36.0,24.12,0.67,0.005,landau,5.641895835477563,0.15671932876326564,2725,2604,13.02,13.639538664825446,52d0a09c085d3009a089ea2f7e64f588efbc5ed61cbbe41bc3bd85aec15e24ca,0.0,0.0,-3.9686975592204377,-3.968489085761141,-3.9671251685122026,-3.9626550499904596,-3.953003454476322,-3.9366958682363595,0.00020847345929686512,0.0013639172489381401,0.004470118521743061,0.009651595514137412,0.016307586239962646,0.00020847345929686512
primary,ellipse_n2_r067,ellipse_aspect_ratio_baseline,2.0,36.0,24.12,0.67,0.01,landau,3.989422804014327,0.11081730011150909,2725,2604,26.04,27.279077329650892,52d0a09c085d3009a089ea2f7e64f588efbc5ed61cbbe41bc3bd85aec15e24ca,0.0,0.0,-3.9376603555662832,-3.937660337799122,-3.9376598724149137,-3.9376573158903136,-3.9376502121011088,-3.9376304100865496,1.776716107571019e-08,4.6538420850339435e-07,2.556524600016985e-06,7.103789204876421e-06,1.9802014559200387e-05,1.776716107571019e-08
primary,ellipse_n2_r067,ellipse_aspect_ratio_baseline,2.0,36.0,24.12,0.67,0.02,landau,2.8209479177387813,0.07835966438163282,2725,2604,52.08,54.558154659301785,52d0a09c085d3009a089ea2f7e64f588efbc5ed61cbbe41bc3bd85aec15e24ca,0.0,0.0,-3.876300212828526,-3.876300210472027,-3.876300191746609,-3.8763000656650313,-3.8762996980646767,-3.8762990100917643,2.3564989959368177e-09,1.8725418104992286e-08,1.2608157762272754e-07,3.6760035460048357e-07,6.879729124165124e-07,2.3564989959368177e-09
primary,ellipse_n2_r067,ellipse_aspect_ratio_baseline,2.0,36.0,24.12,0.67,0.04,landau,1.9947114020071635,0.055408650055754544,2725,2604,104.16,109.11630931860357,52d0a09c085d3009a089ea2f7e64f588efbc5ed61cbbe41bc3bd85aec15e24ca,0.0,0.0,-3.756491087556051,-3.756491084911338,-3.756491077416845,-3.7564910527934314,-3.756490975186921,-3.7564907417099302,2.6447128931295083e-09,7.494493026172222e-09,2.4623413530378002e-08,7.760651055122025e-08,2.3347699062981064e-07,2.6447128931295083e-09
primary,diamond_n12_r1,diamond_like_baseline,1.2,36.0,36.0,1.0,0.0,landau,inf,inf,3057,2912,0.0,0.0,e0415464edc949769f73f8d651ca2a7c5015330fb2fedf14c6eae0fcb05ac072,0.0,0.0,-3.993939193134503,-3.9847516894703796,-3.984751689470365,-3.9748577249122685,-3.9703439367504103,-3.9689985426490866,0.009187503664123575,1.4654943925052066e-14,0.009893964558096435,0.004513788161858212,0.001345394101323727,1.4654943925052066e-14
primary,diamond_n12_r1,diamond_like_baseline,1.2,36.0,36.0,1.0,0.00125,landau,11.283791670955125,0.3134386575265313,3057,2912,3.64,5.089380098815465,e0415464edc949769f73f8d651ca2a7c5015330fb2fedf14c6eae0fcb05ac072,0.0,0.0,-3.990980382259285,-3.987804106148811,-3.9824021298061796,-3.9754364944708627,-3.9713081598619118,-3.9672266816315935,0.0031762761104738857,0.00540197634263162,0.006965635335316911,0.004128334608950901,0.004081478230318236,0.0031762761104738857
primary,diamond_n12_r1,diamond_like_baseline,1.2,36.0,36.0,1.0,0.0025,landau,7.978845608028654,0.22163460022301817,3057,2912,7.28,10.17876019763093,e0415464edc949769f73f8d651ca2a7c5015330fb2fedf14c6eae0fcb05ac072,0.0,0.0,-3.98421346030311,-3.9836321154019947,-3.9820732933240484,-3.9791236084936807,-3.9745471088565094,-3.9682451192870203,0.0005813449011151661,0.0015588220779463313,0.002949684830367616,0.004576499637171327,0.00630198956948913,0.0005813449011151661
primary,diamond_n12_r1,diamond_like_baseline,1.2,36.0,36.0,1.0,0.005,landau,5.641895835477563,0.15671932876326564,3057,2912,14.56,20.35752039526186,e0415464edc949769f73f8d651ca2a7c5015330fb2fedf14c6eae0fcb05ac072,0.0,0.0,-3.968705454115772,-3.9686420594837433,-3.968050810775634,-3.965582193152438,-3.9594006555473724,-3.9480486243404833,6.339463202875706e-05,0.0005912487081092266,0.0024686176231960566,0.006181537605065568,0.011352031206889102,6.339463202875706e-05
primary,diamond_n12_r1,diamond_like_baseline,1.2,36.0,36.0,1.0,0.01,landau,3.989422804014327,0.11081730011150909,3057,2912,29.12,40.71504079052372,e0415464edc949769f73f8d651ca2a7c5015330fb2fedf14c6eae0fcb05ac072,0.0,0.0,-3.937660355746302,-3.9376603522583116,-3.937660242892784,-3.9376595604737066,-3.937657441291445,-3.9376509497435443,3.4879903410001134e-09,1.0936552774509778e-07,6.824190772469763e-07,2.1191822616728473e-06,6.4915479005556165e-06,3.4879903410001134e-09
primary,diamond_n12_r1,diamond_like_baseline,1.2,36.0,36.0,1.0,0.02,landau,2.8209479177387813,0.07835966438163282,3057,2912,58.24,81.43008158104745,e0415464edc949769f73f8d651ca2a7c5015330fb2fedf14c6eae0fcb05ac072,0.0,0.0,-3.8763002128890927,-3.876300210946385,-3.8763001940628437,-3.876300072648603,-3.87629970691684,-3.8762990095978997,1.9427077724287756e-09,1.6883541231749177e-08,1.2141424043932147e-07,3.657317630967327e-07,6.973189403680635e-07,1.9427077724287756e-09
primary,diamond_n12_r1,diamond_like_baseline,1.2,36.0,36.0,1.0,0.04,landau,1.9947114020071635,0.055408650055754544,3057,2912,116.48,162.8601631620949,e0415464edc949769f73f8d651ca2a7c5015330fb2fedf14c6eae0fcb05ac072,0.0,0.0,-3.756491087164455,-3.756491081335388,-3.7564910589586864,-3.756490972532454,-3.756490664331208,-3.7564900670935755,5.829067006857258e-09,2.2376701380721897e-08,8.642623239296654e-08,3.08201245857731e-07,5.972376326823792e-07,5.829067006857258e-09
primary,squircle_n4_r1,square_like_squircle_baseline,4.0,36.0,36.0,1.0,0.0,landau,inf,inf,4761,4616,0.0,0.0,d2965c9fdbc38c0083cef7e32c41aa822001fc7c5793a234dc8c5a8c50bf60e5,0.0,0.0,-3.9961329939661354,-3.990280325844657,-3.990280325844652,-3.9840541715453095,-3.980975192383051,-3.980271459724988,0.005852668121478555,4.884981308350689e-15,0.006226154299342479,0.0030789791622582996,0.0007037326580632275,4.884981308350689e-15
primary,squircle_n4_r1,square_like_squircle_baseline,4.0,36.0,36.0,1.0,0.00125,landau,11.283791670955125,0.3134386575265313,4761,4616,5.7700000000000005,5.089380098815465,d2965c9fdbc38c0083cef7e32c41aa822001fc7c5793a234dc8c5a8c50bf60e5,0.0,0.0,-3.991940580905961,-3.991094007567978,-3.9892665199695756,-3.986303861306671,-3.982189394095771,-3.9769426333711326,0.0008465733379829921,0.0018274875984025662,0.0029626586629047935,0.004114467210899697,0.005246760724638477,0.0008465733379829921
primary,squircle_n4_r1,square_like_squircle_baseline,4.0,36.0,36.0,1.0,0.0025,landau,7.978845608028654,0.22163460022301817,4761,4616,11.540000000000001,10.17876019763093,d2965c9fdbc38c0083cef7e32c41aa822001fc7c5793a234dc8c5a8c50bf60e5,0.0,0.0,-3.984320187584504,-3.984295269062958,-3.984182181526558,-3.983847226799842,-3.983105496272764,-3.981764746517867,2.4918521545735928e-05,0.00011308753640015823,0.0003349547267159636,0.0007417305270780439,0.0013407497548967306,2.4918521545735928e-05
